,node_col_rank,father_node_name,node_name
0,0,"
{集成电路}产业链",上游
1,0,"
{集成电路}产业链",中游
2,0,"
{集成电路}产业链",下游
3,1,上游,{集成电路}原材料
4,1,上游,{集成电路}生产设备
5,1,上游,{集成电路}技术支持
6,1,中游,集成电路产业
7,1,下游,{集成电路}产品应用
8,2,{集成电路}原材料,半导体材料
9,2,{集成电路}原材料,封装材料
10,2,{集成电路}原材料,CMP抛光材料
11,2,{集成电路}原材料,MO源
12,2,{集成电路}原材料,湿电子化学品
13,2,{集成电路}原材料,印制电路板
14,2,{集成电路}原材料,溅镀靶材
15,2,{集成电路}原材料,光掩模板
16,2,{集成电路}原材料,光刻胶
17,2,{集成电路}原材料,高纯特种气体
18,2,{集成电路}原材料,高纯试剂
19,2,{集成电路}生产设备,设计工具EDA
20,2,{集成电路}生产设备,IC生产设备
21,2,{集成电路}生产设备,衬底生产设备
22,2,{集成电路}生产设备,封装测试设备
23,2,{集成电路}技术支持,数字电路设计
24,2,{集成电路}技术支持,模拟电路设计
25,2,{集成电路}技术支持,系统级芯片设计（soc）
26,2,{集成电路}技术支持,其他芯片设计
27,2,集成电路产业,集成电路封测
28,2,集成电路产业,集成电路（制造）
29,2,{集成电路}产品应用,新能源
30,2,{集成电路}产品应用,信息通信
31,2,{集成电路}产品应用,医疗保健设备
32,2,{集成电路}产品应用,IT产品
33,2,{集成电路}产品应用,家用电器
34,2,{集成电路}产品应用,智能电网
35,3,半导体材料,硅
36,3,半导体材料,氮化镓
37,3,半导体材料,砷化镓
38,3,半导体材料,磷化铟
39,3,封装材料,硅胶
40,3,封装材料,基板
41,3,封装材料,导电胶
42,3,封装材料,键合丝
43,3,封装材料,引线框架
44,3,CMP抛光材料,CMP抛光液
45,3,CMP抛光材料,研磨液
46,3,CMP抛光材料,抛光垫
47,3,湿电子化学品,蚀刻液
48,3,设计工具EDA,逻辑设计工具
49,3,设计工具EDA,电路设计工具
50,3,设计工具EDA,布局设计工具
51,3,设计工具EDA,仿真工具
52,3,设计工具EDA,嵌入式软件开发工具
53,3,IC生产设备,光刻机
54,3,IC生产设备,清洗机
55,3,IC生产设备,离子注入机
56,3,IC生产设备,镀膜设备
57,3,IC生产设备,刻蚀机
58,3,IC生产设备,晶圆贴合机
59,3,IC生产设备,扩散炉
60,3,IC生产设备,退火炉
61,3,IC生产设备,CMP抛光机
62,3,衬底生产设备,硅片切割机
63,3,衬底生产设备,硅片研磨机
64,3,衬底生产设备,硅片倒角机
65,3,衬底生产设备,单晶硅生长炉
66,3,封装测试设备,测试设备
67,3,封装测试设备,封装设备
68,3,数字电路设计,逻辑电路设计
69,3,数字电路设计,存储芯片设计
