date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20,turnover
2016-08-30,8.41,8.46,8.43,8.36,123688.76,0.03,0.36,8.53,8.524,8.352,235276.01,251642.06,304968.71,0.13
2016-08-29,8.5,8.55,8.41,8.38,180797.89,-0.09,-1.06,8.546,8.547,8.327,252128.27,323226.83,307302.41,0.18
2016-08-26,8.65,8.69,8.5,8.48,199056.47,-0.12,-1.39,8.55,8.532,8.291,259371.9,364710.11,307442.78,0.2
2016-08-25,8.65,8.66,8.62,8.51,244702.42,-0.07,-0.81,8.57,8.493,8.261,271061.26,360131.94,309085.86,0.25
2016-08-24,8.51,8.75,8.69,8.46,428134.53,0.18,2.12,8.55,8.436,8.232,276311.71,350809.86,315877.81,0.43
2016-08-23,8.44,8.61,8.51,8.41,207950.03,0.07,0.83,8.518,8.375,8.186,268008.11,326906.91,310677.26,0.21
2016-08-22,8.66,8.7,8.43,8.41,217016.05,-0.19,-2.2,8.548,8.341,8.16,394325.4,329137.61,306188.7,0.22
2016-08-19,8.51,8.68,8.6,8.51,257503.27,0.08,0.94,8.514,8.318,8.138,470048.31,343104.69,300672.57,0.26
2016-08-18,8.48,8.64,8.52,8.46,270954.69,-0.01,-0.12,8.416,8.267,8.103,449202.62,340061.01,294458.8,0.28
2016-08-17,8.55,8.61,8.53,8.44,386616.53,-0.12,-1.39,8.322,8.221,8.075,425308.01,336506.72,287846.62,0.39
2016-08-16,8.26,8.86,8.66,8.24,839536.44,0.4,4.84,8.232,8.179,8.046,385805.7,358295.36,275033.29,0.85
2016-08-15,8.26,8.34,8.26,8.16,595630.62,0.15,1.85,8.134,8.106,8.013,263949.83,291377.98,243221.26,0.6
2016-08-12,8.04,8.12,8.11,8.0,153274.81,0.06,0.74,8.122,8.05,8.0,216161.06,250175.47,222052.72,0.16
2016-08-11,8.12,8.17,8.05,8.03,151481.66,-0.02,-0.25,8.118,8.028,7.995,230919.41,258039.78,226394.33,0.15
2016-08-10,8.16,8.16,8.08,8.07,189104.95,-0.09,-1.1,8.12,8.027,7.998,247705.42,280945.76,228317.61,0.19
2016-08-09,8.2,8.2,8.17,8.09,230257.09,-0.03,-0.37,8.126,7.996,7.998,330785.02,294447.62,233067.03,0.23
2016-08-08,8.13,8.27,8.2,8.13,356686.81,0.11,1.36,8.078,7.978,7.993,318806.13,283239.8,233036.62,0.36
2016-08-05,8.07,8.18,8.09,8.01,227066.52,0.02,0.25,7.978,7.957,7.979,284189.87,258240.44,222812.98,0.23
2016-08-04,8.11,8.18,8.06,8.0,235411.72,-0.05,-0.62,7.938,7.938,7.972,285160.14,248856.59,219078.13,0.24
2016-08-03,7.88,8.27,8.11,7.88,604502.94,0.17,2.14,7.934,7.929,7.971,314186.1,239186.53,219296.91,0.61
2016-08-02,7.71,7.96,7.93,7.71,170362.67,0.22,2.85,7.866,7.913,7.974,258110.22,191771.23,212757.45,0.17
2016-08-01,7.83,7.87,7.7,7.64,183605.48,-0.19,-2.41,7.878,7.92,7.981,247673.46,195064.53,238781.9,0.19
