date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20,turnover,halt
2013-10-21,69.63,73.58,72.98,69.4,7522.5,3.35,4.81,72.98,72.98,72.98,7522.5,7522.5,7522.5,0.68,0
2013-10-22,72.56,75.3,72.5,72.11,9822.0,-0.48,-0.66,72.74,72.74,72.74,8672.25,8672.25,8672.25,0.89,0
2013-10-23,72.2,72.45,70.4,69.16,9065.47,-2.1,-2.9,71.96,71.96,71.96,8803.32,8803.32,8803.32,0.82,0
2013-10-24,70.6,72.0,69.3,68.01,8211.53,-1.1,-1.56,71.295,71.295,71.295,8655.38,8655.38,8655.38,0.74,0
2013-10-25,70.0,70.31,66.52,64.85,15367.16,-2.78,-4.01,70.34,70.34,70.34,9997.73,9997.73,9997.73,1.39,0
2013-10-28,66.32,67.78,66.18,65.83,7145.78,-0.34,-0.51,68.98,69.647,69.647,9922.39,9522.41,9522.41,0.64,0
2013-10-29,66.51,67.2,64.4,63.0,15271.91,-1.78,-2.69,67.36,68.897,68.897,11012.37,10343.76,10343.76,1.38,0
2013-10-30,64.89,68.63,67.95,64.81,12607.25,3.55,5.51,66.87,68.779,68.779,11720.73,10626.7,10626.7,1.14,0
2013-10-31,67.8,69.1,68.28,66.6,9237.48,0.33,0.49,66.666,68.723,68.723,11925.92,10472.34,10472.34,0.83,0
2013-11-01,68.15,69.39,68.96,67.77,9846.72,0.68,1.0,67.154,68.747,68.747,10821.83,10409.78,10409.78,0.89,0
2013-11-04,69.0,73.88,70.31,68.1,16228.87,1.35,1.96,67.98,68.48,68.889,12638.45,11280.42,10938.79,1.46,0
2013-11-05,69.89,71.99,71.47,69.27,5213.96,1.16,1.65,69.394,68.377,69.104,10626.86,10819.61,10461.72,0.47,0
2013-11-06,70.83,73.04,70.5,70.5,11822.59,-0.97,-1.36,69.904,68.387,69.212,10469.92,11095.33,10566.4,1.07,0
2013-11-07,70.6,70.61,68.0,68.0,9642.3,-2.5,-3.55,69.848,68.257,69.125,10550.89,11238.4,10500.39,0.87,0
2013-11-08,67.91,68.8,68.0,67.01,7351.22,0.0,0.0,69.656,68.405,69.05,10051.79,10436.81,10290.45,0.66,0
2013-11-11,68.2,68.66,67.61,67.31,3865.54,-0.39,-0.57,69.116,68.548,68.96,7579.12,10108.78,9888.89,0.35,0
2013-11-12,67.8,69.77,69.28,67.66,4343.08,1.67,2.47,68.678,69.036,68.979,7404.95,9015.9,9562.67,0.39,0
2013-11-13,69.29,70.4,69.06,68.81,2919.8,-0.22,-0.32,68.39,69.147,68.983,5624.39,8047.16,9193.62,0.26,0
2013-11-14,68.85,70.47,70.05,68.28,4114.45,0.99,1.43,68.8,69.324,69.039,4518.82,7534.85,8926.3,0.37,0
2013-11-15,70.7,71.98,69.33,69.21,7364.08,-0.72,-1.03,69.066,69.361,69.054,4521.39,7286.59,8848.18,0.66,0
2013-11-18,69.36,70.46,67.9,67.2,19610.63,-1.43,-2.06,69.124,69.12,68.8,7670.41,7624.77,9452.59,1.77,0
2013-11-19,68.25,70.2,70.2,68.2,7937.82,2.3,3.39,69.308,68.993,68.685,8389.36,7897.15,9358.38,0.72,0
2013-11-20,70.2,70.97,70.35,69.31,4727.92,0.15,0.21,69.566,68.978,68.683,8750.98,7187.68,9141.5,0.43,0
2013-11-21,69.86,70.38,69.0,68.15,6953.26,-1.35,-1.92,69.356,69.078,68.668,9318.74,6918.78,9078.59,0.63,0
2013-11-22,68.85,70.12,69.7,68.61,11922.2,0.7,1.01,69.43,69.248,68.827,10230.37,7375.88,8906.34,1.08,0
2013-11-25,70.2,70.49,70.2,69.5,7455.19,0.5,0.72,69.89,69.507,69.028,7799.28,7734.84,8921.81,0.67,0
2013-11-26,70.17,71.79,71.2,69.0,6027.78,1.0,1.43,70.09,69.699,69.368,7417.27,7903.31,8459.61,0.54,0
2013-11-27,71.18,72.2,70.8,70.3,6722.99,-0.4,-0.56,70.18,69.873,69.51,7816.28,8283.63,8165.39,0.61,0
2013-11-28,70.8,74.05,73.88,70.8,12724.62,3.08,4.35,71.156,70.256,69.79,8970.56,9144.65,8339.75,1.15,0
2013-11-29,74.05,75.3,74.49,73.8,8119.69,0.61,0.83,72.114,70.772,70.066,8210.05,9220.21,8253.4,0.73,0
