,code,name,date,weight
0,601016,节能风电,2016-08-01,0.02
1,603993,洛阳钼业,2016-08-01,0.18
2,000630,铜陵有色,2016-08-01,0.2
3,600050,中国联通,2016-08-01,0.41
4,002399,海普瑞,2016-08-01,0.07
5,300315,掌趣科技,2016-08-01,0.23
6,000768,中航飞机,2016-08-01,0.27
7,600115,东方航空,2016-08-01,0.31
8,600208,新湖中宝,2016-08-01,0.17
9,000839,中信国安,2016-08-01,0.27
10,000793,华闻传媒,2016-08-01,0.23
11,600704,物产中大,2016-08-01,0.12
12,601668,中国建筑,2016-08-01,1.01
13,600104,上汽集团,2016-08-01,0.89
14,601800,中国交建,2016-08-01,0.19
15,601958,金钼股份,2016-08-01,0.09
16,001979,招商蛇口,2016-08-01,0.41
17,000800,一汽轿车,2016-08-01,0.1
18,600827,百联股份,2016-08-01,0.11
19,000738,中航动控,2016-08-01,0.14
20,600804,鹏博士,2016-08-01,0.26
21,600029,南方航空,2016-08-01,0.34
22,600600,青岛啤酒,2016-08-01,0.09
23,601390,中国中铁,2016-08-01,0.44
24,600038,中直股份,2016-08-01,0.11
25,600362,江西铜业,2016-08-01,0.14
26,601111,中国国航,2016-08-01,0.25
27,002230,科大讯飞,2016-08-01,0.3
28,601021,春秋航空,2016-08-01,0.14
29,600666,奥瑞德,2016-08-01,0.09
30,000999,华润三九,2016-08-01,0.12
31,000568,泸州老窖,2016-08-01,0.26
32,603885,吉祥航空,2016-08-01,0.05
33,600074,保千里,2016-08-01,0.17
34,600098,广州发展,2016-08-01,0.07
35,601088,中国神华,2016-08-01,0.34
36,601186,中国铁建,2016-08-01,0.35
37,600085,同仁堂,2016-08-01,0.2
38,002252,上海莱士,2016-08-01,0.24
39,600276,恒瑞医药,2016-08-01,0.71
40,000963,华东医药,2016-08-01,0.19
41,600372,中航电子,2016-08-01,0.12
42,601888,中国国旅,2016-08-01,0.26
43,601928,凤凰传媒,2016-08-01,0.09
44,601818,光大银行,2016-08-01,0.72
45,601998,中信银行,2016-08-01,0.21
46,600157,永泰能源,2016-08-01,0.17
47,601866,中海集运,2016-08-01,0.15
48,000883,湖北能源,2016-08-01,0.11
49,600028,中国石化,2016-08-01,0.59
50,002415,海康威视,2016-08-01,0.53
51,601919,中国远洋,2016-08-01,0.23
52,002024,苏宁云商,2016-08-01,0.45
53,600795,国电电力,2016-08-01,0.41
54,600118,中国卫星,2016-08-01,0.22
55,600221,海南航空,2016-08-01,0.23
56,600886,国投电力,2016-08-01,0.28
57,002422,科伦药业,2016-08-01,0.15
58,000069,华侨城Ａ,2016-08-01,0.26
59,600100,同方股份,2016-08-01,0.32
60,600177,雅戈尔,2016-08-01,0.26
61,000825,太钢不锈,2016-08-01,0.09
62,600895,张江高科,2016-08-01,0.16
63,600383,金地集团,2016-08-01,0.25
64,600871,石化油服,2016-08-01,0.08
65,601607,上海医药,2016-08-01,0.27
66,600578,京能电力,2016-08-01,0.07
67,601939,建设银行,2016-08-01,0.46
68,000625,长安汽车,2016-08-01,0.43
69,600023,浙能电力,2016-08-01,0.25
70,000402,金 融 街,2016-08-01,0.18
71,600489,中金黄金,2016-08-01,0.29
72,300104,乐视网,2016-08-01,0.5
73,002142,宁波银行,2016-08-01,0.35
74,600741,华域汽车,2016-08-01,0.24
75,600016,民生银行,2016-08-01,2.54
76,300251,光线传媒,2016-08-01,0.11
77,002568,百润股份,2016-08-01,0.05
78,600111,北方稀土,2016-08-01,0.33
79,600718,东软集团,2016-08-01,0.2
80,002475,立讯精密,2016-08-01,0.2
81,000895,双汇发展,2016-08-01,0.28
