,node_col_rank,father_node_name,node_name
0,0,工程机械,上游
1,0,工程机械,中游
2,0,工程机械,下游
3,1,上游,原材料
4,1,上游,零部件
5,1,上游,生产设备
6,1,中游,工程机械制造
7,1,下游,配套服务
8,1,下游,销售渠道
9,1,下游,产品应用
10,2,原材料,工程机械用钢
11,2,零部件,内燃机
12,2,零部件,工程机械动力电池
13,2,零部件,工程机械涂料
14,2,零部件,工程机械配件
15,2,零部件,工程机械橡胶部件
16,2,零部件,工程机械齿轮
17,2,零部件,工程机械座椅
18,2,零部件,轴承
19,2,零部件,液压系统
20,2,生产设备,机床
21,2,生产设备,工业机器人系统集成
22,2,生产设备,自动化装备设备
23,2,生产设备,机床刀具
24,2,生产设备,焊接设备
25,2,生产设备,锻造模具
26,2,工程机械制造,土方机械
27,2,工程机械制造,桩工机械
28,2,工程机械制造,路面机械
29,2,工程机械制造,混凝土机械
30,2,工程机械制造,起重机械
31,2,工程机械制造,工业车辆
32,2,工程机械制造,隧道专用机械
33,2,工程机械制造,高空作业设备
34,2,工程机械制造,非道路货运自卸车
35,2,配套服务,融租服务
36,2,销售渠道,工程机械贸易
37,2,销售渠道,工程机械零售
38,2,产品应用,房屋建设工程
39,2,产品应用,基础建设工程
40,2,产品应用,能源采矿工程
41,3,工程机械配件,工程车罩体
42,3,工程机械配件,推土机机铲
43,3,工程机械配件,挖掘机用铲
44,3,轴承,滑动轴承
45,3,轴承,关节轴承
46,3,轴承,滚动轴承
47,3,轴承,深沟球轴承
48,3,轴承,角接触球轴承
49,3,轴承,调心球轴承
50,3,轴承,推力球轴承
51,3,轴承,双向推力角接触轴承
52,3,液压系统,液压泵
53,3,液压系统,液压马达
54,3,液压系统,液压缸
55,3,土方机械,挖掘机械
56,3,土方机械,推土机械
57,3,土方机械,铲土机械
58,3,土方机械,运输机械
59,3,土方机械,压实机械
60,3,桩工机械,打桩机
61,3,桩工机械,压装机
62,3,桩工机械,打桩锤
63,3,桩工机械,柴油锤打桩架
64,3,桩工机械,拨桩机
65,3,路面机械,摊铺机械
66,3,路面机械,筑养路机械
67,3,路面机械,线路铺装机械
68,3,路面机械,扫雪设备
69,3,混凝土机械,混凝土泵车
70,3,混凝土机械,混凝土搅拌站
71,3,混凝土机械,混凝土泵
72,3,混凝土机械,混凝土搅拌车
73,3,混凝土机械,散装水泥车
74,3,混凝土机械,布料杆
75,3,起重机械,轻小型起重设备
76,3,起重机械,桥式起重机
77,3,起重机械,门式起重机(龙门起重机)
78,3,起重机械,门座起重机
79,3,起重机械,塔式起重机
80,3,起重机械,轮式起重机
81,3,起重机械,悬臂起重机
82,3,起重机械,移动式吊运架
83,3,起重机械,装卸桥
84,3,工业车辆,叉车
85,3,工业车辆,跨运车
86,3,工业车辆,手动搬运车
87,3,工业车辆,堆垛车
88,3,工业车辆,拣选车
89,3,隧道专用机械,掘进机
90,3,隧道专用机械,盾构机
91,3,高空作业设备,交叉式高空作业平台
92,3,高空作业设备,曲臂式高空作业平台
93,3,高空作业设备,直臂式高空作业平台
94,3,非道路货运自卸车,电动轮非公路用货运自卸车
95,3,非道路货运自卸车,自卸车(翻斗车)
96,3,房屋建设工程,工业用房屋建设工程
97,3,房屋建设工程,住宅及商业房屋建设工程
98,3,房屋建设工程,公用地产房屋建设工程
99,3,房屋建设工程,房屋建设工程
100,3,基础建设工程,水利工程
101,3,基础建设工程,机场工程
102,3,基础建设工程,水运工程
103,3,基础建设工程,管道工程
104,3,基础建设工程,海洋工程
105,3,基础建设工程,市政工程
106,3,基础建设工程,路桥工程
107,3,基础建设工程,铁路工程
108,3,基础建设工程,隧道工程
109,4,挖掘机械,履带式挖掘机
110,4,挖掘机械,轮式挖掘机
111,4,挖掘机械,挖装机
112,4,挖掘机械,连续式挖掘机
113,4,挖掘机械,特种挖掘机
114,4,推土机械,履带式推土机
115,4,推土机械,侧铲推土机
116,4,铲土机械,铲运机
117,4,铲土机械,机械铲
118,4,铲土机械,平地机
119,4,运输机械,装载机
120,4,压实机械,机动压路机
121,4,压实机械,非机动压路机
122,4,压实机械,打夯机
123,4,打桩机,电动履带式打桩机
124,4,打桩机,履带式螺纹打桩机
125,4,打桩机,步履式打桩机
126,4,打桩机,地下连续墙钻机
127,4,打桩机,非圆形桩钻机
128,4,压装机,机械式压桩机
129,4,压装机,液压式压桩机
130,4,打桩锤,柴油打桩机
131,4,打桩锤,液压打桩机
132,4,打桩锤,振动桩锤
133,4,柴油锤打桩架,走管式柴油锤打桩架
134,4,柴油锤打桩架,履带式柴油锤打桩架
135,4,柴油锤打桩架,步履式柴油锤打桩架
136,4,柴油锤打桩架,轨道式柴油锤打桩架
137,4,柴油锤打桩架,轮胎式柴油锤打桩架
138,4,拨桩机,振动沉拔桩机
139,4,拨桩机,步履沉拔桩机
140,4,摊铺机械,沥青混凝土摊铺机
141,4,摊铺机械,混凝土摊铺整平机
142,4,摊铺机械,稳定土摊铺机
143,4,摊铺机械,散状物料撒布机
144,4,摊铺机械,多功能混凝土摊铺机
145,4,筑养路机械,沥青路面机械
146,4,筑养路机械,混凝土路面机械
147,4,筑养路机械,碎石路面施工机械
148,4,线路铺装机械,管道吊管机
149,4,线路铺装机械,铺设机
150,4,线路铺装机械,架桥机
151,4,线路铺装机械,挖沟及管道吊装联合机
152,4,线路铺装机械,埋管机
153,4,轻小型起重设备,手动葫芦
154,4,轻小型起重设备,电动葫芦
155,4,轻小型起重设备,起重滑车
156,4,轻小型起重设备,汽车举升机
157,4,桥式起重机,通用桥式起重机
158,4,桥式起重机,电动葫芦梁式起重机
159,4,桥式起重机,冶金起重机
160,4,桥式起重机,专用桥式起重机
161,4,门式起重机(龙门起重机),通用门式起重机
162,4,门式起重机(龙门起重机),水电站门式起重机
163,4,门式起重机(龙门起重机),造船用门式起重机
164,4,门式起重机(龙门起重机),轮胎式集装箱门式起重机
165,4,门式起重机(龙门起重机),轨道式集装箱门式起重机
166,4,门式起重机(龙门起重机),手动门式起重机
167,4,门座起重机,通用门座起重机
168,4,门座起重机,带斗门座起重机
169,4,门座起重机,集装箱门座起重机
170,4,门座起重机,多用途门座起重机
171,4,门座起重机,造船门座起重机
172,4,门座起重机,建筑门座起重机
173,4,塔式起重机,轨道式塔式起重机
174,4,塔式起重机,固定塔式起重机
175,4,塔式起重机,自升式塔式起重机
176,4,塔式起重机,轮式塔式起重机
177,4,塔式起重机,履带式塔式起重机
178,4,轮式起重机,汽车起重机
179,4,轮式起重机,轮胎起重机
180,4,轮式起重机,越野轮胎起重机
181,4,轮式起重机,全地(路)面起重机
182,4,轮式起重机,履带式起重机
183,4,轮式起重机,特殊底盘起重机
184,4,轮式起重机,随车起重机
185,4,轮式起重机,桅杆起重机
186,4,轮式起重机,甲板起重机
187,4,悬臂起重机,柱式臂架起重机
188,4,悬臂起重机,壁上起重机
189,4,悬臂起重机,平衡起重机
190,4,移动式吊运架,胶轮移动式吊运架
191,4,移动式吊运架,铁路起重机
192,4,移动式吊运架,浮式起重机
193,4,移动式吊运架,起重机专用配套件
194,4,装卸桥,卸船起重机
195,4,装卸桥,岸边集装箱装卸桥
196,4,叉车,内燃室内叉车
197,4,叉车,集装箱叉车
198,4,叉车,集装箱正面吊运机
199,4,叉车,电动平衡重乘驾式叉车
200,4,叉车,电动乘驾式仓储叉车
201,4,叉车,电动步行式仓储叉车
202,4,叉车,越野叉车
203,4,工业用房屋建设工程,厂房建设工程
204,4,工业用房屋建设工程,仓库建设工程
205,4,住宅及商业房屋建设工程,住宅房屋建设工程
206,4,住宅及商业房屋建设工程,办公用房屋建设工程
207,4,住宅及商业房屋建设工程,商业用房屋建设工程
208,4,公用地产房屋建设工程,教育用房屋建设工程
209,4,公用地产房屋建设工程,医疗用房屋建设工程
210,4,水利工程,水工建筑物基础处理工程
211,4,水利工程,水工大坝工程
212,4,水利工程,河湖整治工程
213,4,水利工程,堤防工程
214,4,水利工程,水库工程
215,4,水利工程,水力发电建设工程
216,4,水利工程,节水工程
217,4,水利工程,灌溉工程
218,4,机场工程,飞机跑道工程
219,4,机场工程,停机坪工程
220,4,水运工程,港口海岸工程
221,4,水运工程,航道工程
222,4,水运工程,通航建筑工程
223,4,管道工程,输油管道工程
224,4,管道工程,输气管道工程
225,4,管道工程,输水管道工程
226,4,海洋工程,围海造地工程
227,4,海洋工程,防侵蚀工程
228,4,海洋工程,护岸护滩工程
229,4,海洋工程,海洋观景设施工程
230,4,海洋工程,滨海污水海洋处置工程
231,4,海洋工程,人工岛屿工程
232,4,海洋工程,人工渔礁工程
233,4,海洋工程,海底场馆工程
234,4,海洋工程,海底电缆工程
235,4,海洋工程,海底管道工程
236,4,海洋工程,海底隧道工程
237,4,市政工程,城轨建设工程
238,4,市政工程,电力工程
239,4,市政工程,水供应建设工程
240,4,市政工程,燃气供应建设工程
241,4,市政工程,热力生产建设工程
242,4,市政工程,环保工程
243,4,市政工程,城市及道路照明工程
244,4,市政工程,城市管道工程
245,4,路桥工程,城市道路工程
246,4,路桥工程,高速公路建设工程
247,4,路桥工程,桥梁工程
248,4,铁路工程,铁路路基工程
249,4,铁路工程,铁路电气化工程
250,4,铁路工程,铁路通信信号工程
251,4,隧道工程,铁路隧道工程
252,4,隧道工程,城市地铁隧道工程
253,4,隧道工程,公路隧道工程
