产业链,上下游,一级节点,二级节点,三级节点,四级节点,五级节点
工程机械,上游,原材料,工程机械用钢,,,
工程机械,上游,零部件,内燃机,,,
工程机械,上游,零部件,工程机械动力电池,,,
工程机械,上游,零部件,工程机械涂料,,,
工程机械,上游,零部件,工程机械配件,工程车罩体,,
工程机械,上游,零部件,工程机械配件,推土机机铲,,
工程机械,上游,零部件,工程机械配件,挖掘机用铲,,
工程机械,上游,零部件,工程机械橡胶部件,,,
工程机械,上游,零部件,工程机械齿轮,,,
工程机械,上游,零部件,工程机械座椅,,,
工程机械,上游,零部件,轴承,滑动轴承,,
工程机械,上游,零部件,轴承,关节轴承,,
工程机械,上游,零部件,轴承,滚动轴承,,
工程机械,上游,零部件,轴承,深沟球轴承,,
工程机械,上游,零部件,轴承,角接触球轴承,,
工程机械,上游,零部件,轴承,调心球轴承,,
工程机械,上游,零部件,轴承,推力球轴承,,
工程机械,上游,零部件,轴承,双向推力角接触轴承,,
工程机械,上游,零部件,液压系统,液压泵,,
工程机械,上游,零部件,液压系统,液压马达,,
工程机械,上游,零部件,液压系统,液压缸,,
工程机械,上游,生产设备,机床,,,
工程机械,上游,生产设备,工业机器人系统集成,,,
工程机械,上游,生产设备,自动化装备设备,,,
工程机械,上游,生产设备,机床刀具,,,
工程机械,上游,生产设备,焊接设备,,,
工程机械,上游,生产设备,锻造模具,,,
工程机械,中游,工程机械制造,土方机械,挖掘机械,履带式挖掘机,
工程机械,中游,工程机械制造,土方机械,挖掘机械,轮式挖掘机,
工程机械,中游,工程机械制造,土方机械,挖掘机械,挖装机,
工程机械,中游,工程机械制造,土方机械,挖掘机械,连续式挖掘机,
工程机械,中游,工程机械制造,土方机械,挖掘机械,特种挖掘机,
工程机械,中游,工程机械制造,土方机械,推土机械,履带式推土机,
工程机械,中游,工程机械制造,土方机械,推土机械,侧铲推土机,
工程机械,中游,工程机械制造,土方机械,铲土机械,铲运机,
工程机械,中游,工程机械制造,土方机械,铲土机械,机械铲,
工程机械,中游,工程机械制造,土方机械,铲土机械,平地机,
工程机械,中游,工程机械制造,土方机械,运输机械,装载机,
工程机械,中游,工程机械制造,土方机械,压实机械,机动压路机,
工程机械,中游,工程机械制造,土方机械,压实机械,非机动压路机,手扶式压路机
工程机械,中游,工程机械制造,土方机械,压实机械,非机动压路机,牵引式压路机
工程机械,中游,工程机械制造,土方机械,压实机械,非机动压路机,推进式压路机
工程机械,中游,工程机械制造,土方机械,压实机械,打夯机,机动打夯机
工程机械,中游,工程机械制造,土方机械,压实机械,打夯机,非机动打夯机
工程机械,中游,工程机械制造,桩工机械,打桩机,电动履带式打桩机,
工程机械,中游,工程机械制造,桩工机械,打桩机,履带式螺纹打桩机,
工程机械,中游,工程机械制造,桩工机械,打桩机,步履式打桩机,
工程机械,中游,工程机械制造,桩工机械,打桩机,地下连续墙钻机,
工程机械,中游,工程机械制造,桩工机械,打桩机,非圆形桩钻机,
工程机械,中游,工程机械制造,桩工机械,压装机,机械式压桩机,
工程机械,中游,工程机械制造,桩工机械,压装机,液压式压桩机,
工程机械,中游,工程机械制造,桩工机械,打桩锤,柴油打桩机,
工程机械,中游,工程机械制造,桩工机械,打桩锤,液压打桩机,
工程机械,中游,工程机械制造,桩工机械,打桩锤,振动桩锤,
工程机械,中游,工程机械制造,桩工机械,柴油锤打桩架,走管式柴油锤打桩架,
工程机械,中游,工程机械制造,桩工机械,柴油锤打桩架,履带式柴油锤打桩架,
工程机械,中游,工程机械制造,桩工机械,柴油锤打桩架,步履式柴油锤打桩架,
工程机械,中游,工程机械制造,桩工机械,柴油锤打桩架,轨道式柴油锤打桩架,
工程机械,中游,工程机械制造,桩工机械,柴油锤打桩架,轮胎式柴油锤打桩架,
工程机械,中游,工程机械制造,桩工机械,拨桩机,振动沉拔桩机,
工程机械,中游,工程机械制造,桩工机械,拨桩机,步履沉拔桩机,
工程机械,中游,工程机械制造,路面机械,摊铺机械,沥青混凝土摊铺机,
工程机械,中游,工程机械制造,路面机械,摊铺机械,混凝土摊铺整平机,
工程机械,中游,工程机械制造,路面机械,摊铺机械,稳定土摊铺机,
工程机械,中游,工程机械制造,路面机械,摊铺机械,散状物料撒布机,
工程机械,中游,工程机械制造,路面机械,摊铺机械,多功能混凝土摊铺机,
工程机械,中游,工程机械制造,路面机械,筑养路机械,沥青路面机械,
工程机械,中游,工程机械制造,路面机械,筑养路机械,混凝土路面机械,
工程机械,中游,工程机械制造,路面机械,筑养路机械,混凝土路面机械,
工程机械,中游,工程机械制造,路面机械,筑养路机械,碎石路面施工机械,
工程机械,中游,工程机械制造,路面机械,线路铺装机械,管道吊管机,
工程机械,中游,工程机械制造,路面机械,线路铺装机械,铺设机,
工程机械,中游,工程机械制造,路面机械,线路铺装机械,架桥机,
工程机械,中游,工程机械制造,路面机械,线路铺装机械,挖沟及管道吊装联合机,
工程机械,中游,工程机械制造,路面机械,线路铺装机械,埋管机,
工程机械,中游,工程机械制造,路面机械,扫雪设备,,
工程机械,中游,工程机械制造,混凝土机械,混凝土泵车,,
工程机械,中游,工程机械制造,混凝土机械,混凝土搅拌站,,
工程机械,中游,工程机械制造,混凝土机械,混凝土泵,,
工程机械,中游,工程机械制造,混凝土机械,混凝土搅拌车,,
工程机械,中游,工程机械制造,混凝土机械,散装水泥车,,
工程机械,中游,工程机械制造,混凝土机械,布料杆,,
工程机械,中游,工程机械制造,起重机械,轻小型起重设备,手动葫芦,
工程机械,中游,工程机械制造,起重机械,轻小型起重设备,电动葫芦,
工程机械,中游,工程机械制造,起重机械,轻小型起重设备,起重滑车,
工程机械,中游,工程机械制造,起重机械,轻小型起重设备,汽车举升机,
工程机械,中游,工程机械制造,起重机械,桥式起重机,通用桥式起重机,
工程机械,中游,工程机械制造,起重机械,桥式起重机,电动葫芦梁式起重机,
工程机械,中游,工程机械制造,起重机械,桥式起重机,冶金起重机,铸造起重机
工程机械,中游,工程机械制造,起重机械,桥式起重机,冶金起重机,加料起重机
工程机械,中游,工程机械制造,起重机械,桥式起重机,冶金起重机,脱锭起重机
工程机械,中游,工程机械制造,起重机械,桥式起重机,冶金起重机,板坯起重机
工程机械,中游,工程机械制造,起重机械,桥式起重机,冶金起重机,夹钳起重机
工程机械,中游,工程机械制造,起重机械,桥式起重机,冶金起重机,淬火起重机
工程机械,中游,工程机械制造,起重机械,桥式起重机,冶金起重机,电解起重机
工程机械,中游,工程机械制造,起重机械,桥式起重机,冶金起重机,料耙起重机
工程机械,中游,工程机械制造,起重机械,桥式起重机,冶金起重机,揭盖起重机
工程机械,中游,工程机械制造,起重机械,桥式起重机,冶金起重机,锻造起重机
工程机械,中游,工程机械制造,起重机械,桥式起重机,专用桥式起重机,核电站桥式起重机
工程机械,中游,工程机械制造,起重机械,桥式起重机,专用桥式起重机,防爆桥式起重机
工程机械,中游,工程机械制造,起重机械,桥式起重机,专用桥式起重机,桥式堆垛起重机
工程机械,中游,工程机械制造,起重机械,桥式起重机,专用桥式起重机,手动桥(梁)式起重机
工程机械,中游,工程机械制造,起重机械,门式起重机(龙门起重机),通用门式起重机,
工程机械,中游,工程机械制造,起重机械,门式起重机(龙门起重机),水电站门式起重机,
