if,1,
,,
node_name,求和项:voc_cmt,计数项:pt
岸边集装箱装卸桥,2,1
办公用房屋建设工程,153,11
拨桩机,1,1
布料杆,37,1
仓库建设工程,76,2
叉车,16219,10
柴油锤打桩架,1,1
柴油打桩机,1,1
产品应用,1,1
铲土机械,263,6
铲运机,92,2
厂房建设工程,402,11
城轨建设工程,1604,3
城市道路工程,9094,19
城市地铁隧道工程,1750,5
城市管道工程,1590,15
城市及道路照明工程,315711,32
打夯机,88,2
打桩锤,10,1
打桩机,912,11
堤防工程,18825,13
电动步行式仓储叉车,1,1
电动乘驾式仓储叉车,15,1
电动葫芦,3673,12
电动葫芦梁式起重机,10,2
电动轮非公路用货运自卸车,2,1
电动平衡重乘驾式叉车,2,1
电力工程,280632,11
锻造模具,88,27
堆垛车,93,2
盾构机,299,14
防侵蚀工程,131,4
房屋建设工程,1234351,56
飞机跑道工程,346,8
非道路货运自卸车,6,4
非机动压路机,1,1
港口海岸工程,8141,15
高空作业设备,249,22
高速公路建设工程,1682,10
工程车罩体,4,4
工程机械齿轮,22,10
工程机械动力电池,1,1
工程机械零售,349,24
工程机械贸易,6331,15
工程机械配件,30775,33
工程机械涂料,7,5
工程机械橡胶部件,6,5
工程机械用钢,6,5
工程机械制造,1638,19
工程机械座椅,10,3
工业车辆,110,5
工业机器人系统集成,241,41
工业用房屋建设工程,33,5
公路隧道工程,757,11
固定塔式起重机,21,3
关节轴承,38,5
管道吊管机,11,1
管道工程,220324,13
灌溉工程,1410,15
轨道式集装箱门式起重机,11,2
滚动轴承,455,6
海底电缆工程,24,4
海底管道工程,2,1
海底隧道工程,19,1
海洋工程,3030,7
海洋观景设施工程,7,2
焊接设备,13583,1
航道工程,9438,10
河湖整治工程,103420,20
护岸护滩工程,149,5
滑动轴承,370,22
环保工程,540139,19
混凝土泵,3873,4
混凝土泵车,600,8
混凝土机械,634,31
混凝土搅拌车,1078,8
混凝土搅拌站,279,8
混凝土路面机械,131,2
机场工程,13948,21
机床,12559,1
机床刀具,716,13
机动压路机,7,1
机械铲,22,2
基础建设工程,3808,21
集装箱叉车,37,1
集装箱门座起重机,2,1
集装箱正面吊运机,20,2
架桥机,619,5
拣选车,5,1
建筑门座起重机,44,1
胶轮移动式吊运架,2,1
角接触球轴承,1,1
教育用房屋建设工程,11,2
节水工程,559,13
掘进机,601,6
跨运车,6,1
沥青混凝土摊铺机,4,1
沥青路面机械,6,1
零部件,2229,37
路面机械,917,39
路桥工程,58329,7
轮式起重机,51,4
轮式塔式起重机,109,10
轮式挖掘机,49,4
轮胎起重机,21,2
轮胎式集装箱门式起重机,2,1
履带式起重机,145,5
履带式挖掘机,11,2
门式起重机(龙门起重机),1949,5
门座起重机,221,4
内燃机,66,9
能源采矿工程,203,9
配套服务,142,34
平地机,679,1
平衡起重机,1,1
起重滑车,712,2
起重机械,12248,26
起重机专用配套件,1288,9
汽车举升机,186,3
汽车起重机,741,6
桥梁工程,292337,23
桥式起重机,1430,10
轻小型起重设备,2996,25
燃气供应建设工程,50,6
热力生产建设工程,11,2
人工岛屿工程,3,2
人工渔礁工程,5,3
融租服务,6218,39
散装水泥车,37,3
扫雪设备,125,4
商业用房屋建设工程,5,1
深沟球轴承,12,2
市政工程,924277,18
手动搬运车,160,7
手动葫芦,2182,4
输气管道工程,31,5
输水管道工程,97,3
输油管道工程,20,3
水电站门式起重机,3,1
水工大坝工程,3212,9
水工建筑物基础处理工程,1344,13
水供应建设工程,1601,10
水库工程,181,11
水力发电建设工程,458,3
水利工程,684422,19
水运工程,879,4
随车起重机,216,2
隧道工程,173019,18
隧道专用机械,2108,19
塔式起重机,1547,13
摊铺机械,321,5
特种挖掘机,1,1
铁路电气化工程,6288,5
铁路工程,86357,7
铁路路基工程,1359,8
铁路起重机,11,1
铁路隧道工程,246,6
铁路通信信号工程,43,1
停机坪工程,14,2
通航建筑工程,4540,6
通用门式起重机,41,1
通用门座起重机,42,2
通用桥式起重机,122,2
土方机械,98,8
推力球轴承,1,1
推土机机铲,2,2
推土机械,3390,7
挖掘机械,11596,14
挖掘机用铲,1,1
围海造地工程,170,4
桅杆起重机,34,3
稳定土摊铺机,65,2
线路铺装机械,6,2
销售渠道,10597,38
悬臂起重机,347,11
压实机械,235,4
压装机,6,1
冶金起重机,76,3
液压泵,1519,8
液压打桩机,2,1
液压缸,1105,6
液压马达,531,3
液压式压桩机,1,1
液压系统,1922,25
医疗用房屋建设工程,15,2
移动式吊运架,2,1
原材料,70,13
越野叉车,11,1
越野轮胎起重机,5,1
运输机械,555,6
造船门座起重机,1,1
造船用门式起重机,9,1
振动桩锤,4,1
直臂式高空作业平台,1,1
轴承,201659,1
住宅房屋建设工程,2979,9
柱式臂架起重机,29,2
筑养路机械,137,11
专用桥式起重机,35,4
桩工机械,608,32
装卸桥,7,1
装载机,5235,4
自动化装备设备,1212,23
自升式塔式起重机,1,1
自卸车(翻斗车),626,22
总计,5392442,1653
