产业链,固定节点,一级节点,二级节点,三级节点,四级节点,五级节点
新材料-渔具产业链,上游,原材料,碳纤维,上游,聚丙烯腈,
新材料-渔具产业链,上游,原材料,碳纤维,上游,煤沥青,
新材料-渔具产业链,上游,原材料,碳纤维,上游,纤维素,
新材料-渔具产业链,上游,原材料,碳纤维,下游,渔具,
新材料-渔具产业链,上游,原材料,碳纤维,下游,航空航天设备,
新材料-渔具产业链,上游,原材料,碳纤维,下游,医疗器械,
新材料-渔具产业链,上游,原材料,玻璃纤维,上游,二氧化硅,
新材料-渔具产业链,上游,原材料,玻璃纤维,上游,氧化铝,
新材料-渔具产业链,上游,原材料,玻璃纤维,上游,碳酸钠,
新材料-渔具产业链,上游,原材料,玻璃纤维,上游,树脂,
新材料-渔具产业链,上游,原材料,玻璃纤维,下游,建筑材料,
新材料-渔具产业链,上游,原材料,玻璃纤维,下游,机械材料,
新材料-渔具产业链,上游,原材料,玻璃纤维,下游,防弹材料,
新材料-渔具产业链,上游,原材料,玻璃纤维,下游,医疗器械,
新材料-渔具产业链,上游,原材料,钢丝,,,
新材料-渔具产业链,上游,原材料,碳素,,,
新材料-渔具产业链,上游,原材料,聚乙烯,,,
新材料-渔具产业链,上游,原材料,尼龙,,,
新材料-渔具产业链,上游,原材料,涤纶,,,
新材料-渔具产业链,上游,原材料,丝线,,,
新材料-渔具产业链,上游,原材料,复合材料,,,
新材料-渔具产业链,上游,设备制造,钓竿设备,钓竿车床,,
新材料-渔具产业链,上游,设备制造,钓竿设备,钓竿拉伸机,,
新材料-渔具产业链,上游,设备制造,钓竿设备,钓竿成型模具,,
新材料-渔具产业链,上游,设备制造,钓竿设备,切割机,,
新材料-渔具产业链,上游,设备制造,钓线设备,,,
新材料-渔具产业链,中游,渔具,钓具,鱼线,尼龙线,
新材料-渔具产业链,中游,渔具,钓具,鱼线,碳素线,
新材料-渔具产业链,中游,渔具,钓具,鱼线,钢丝线,
新材料-渔具产业链,中游,渔具,钓具,鱼线,编织线,
新材料-渔具产业链,中游,渔具,钓具,鱼线,合成线,
新材料-渔具产业链,中游,渔具,钓具,鱼线,陶瓷线,
新材料-渔具产业链,中游,渔具,钓具,鱼线,聚乙烯高性能钓鱼线,
新材料-渔具产业链,中游,渔具,钓具,鱼线,上游,钢丝
新材料-渔具产业链,中游,渔具,钓具,鱼线,上游,碳素
新材料-渔具产业链,中游,渔具,钓具,鱼线,上游,聚乙烯
新材料-渔具产业链,中游,渔具,钓具,鱼线,上游,复合材料
新材料-渔具产业链,中游,渔具,钓具,鱼线,下游,休闲钓
新材料-渔具产业链,中游,渔具,钓具,鱼线,下游,海钓
新材料-渔具产业链,中游,渔具,钓具,鱼线,下游,竞技
新材料-渔具产业链,中游,渔具,钓具,钓竿,玻璃纤维钓竿,
新材料-渔具产业链,中游,渔具,钓具,钓竿,碳纤维钓竿,
新材料-渔具产业链,中游,渔具,钓具,钓竿,复合材料钓竿,
新材料-渔具产业链,中游,渔具,钓具,钓竿,上游,碳纤维
新材料-渔具产业链,中游,渔具,钓具,钓竿,上游,玻璃纤维
新材料-渔具产业链,中游,渔具,钓具,钓竿,上游,复合材料
新材料-渔具产业链,中游,渔具,钓具,钓竿,下游,休闲钓
新材料-渔具产业链,中游,渔具,钓具,钓竿,下游,海钓
新材料-渔具产业链,中游,渔具,钓具,钓竿,下游,竞技
新材料-渔具产业链,中游,渔具,钓具,渔线轮,,
新材料-渔具产业链,中游,渔具,钓具,漂浮,,
新材料-渔具产业链,中游,渔具,钓具,钓鱼钩,,
新材料-渔具产业链,中游,渔具,钓具,钓鱼包囊,,
新材料-渔具产业链,中游,渔具,钓具,钓饵,,
新材料-渔具产业链,中游,渔具,钓具,上游,钢丝,
新材料-渔具产业链,中游,渔具,钓具,上游,碳素,
新材料-渔具产业链,中游,渔具,钓具,上游,聚乙烯,
新材料-渔具产业链,中游,渔具,钓具,上游,碳纤维,
新材料-渔具产业链,中游,渔具,钓具,上游,玻璃纤维,
新材料-渔具产业链,中游,渔具,钓具,上游,复合材料,
新材料-渔具产业链,中游,渔具,钓具,上游,复合材料,
新材料-渔具产业链,中游,渔具,钓具,下游,休闲钓,
新材料-渔具产业链,中游,渔具,钓具,下游,海钓,
新材料-渔具产业链,中游,渔具,钓具,下游,竞技,
新材料-渔具产业链,中游,渔具,网具,拖网,,
新材料-渔具产业链,中游,渔具,网具,围网,,
新材料-渔具产业链,中游,渔具,网具,漂流网,,
新材料-渔具产业链,中游,渔具,网具,刺网,,
新材料-渔具产业链,中游,渔具,网具,指网,,
新材料-渔具产业链,中游,渔具,网具,网抄,,
新材料-渔具产业链,中游,渔具,网具,上游,尼龙,
新材料-渔具产业链,中游,渔具,网具,上游,涤纶,
新材料-渔具产业链,中游,渔具,网具,上游,聚乙烯,
新材料-渔具产业链,中游,渔具,网具,下游,渔业,
新材料-渔具产业链,中游,渔具,网具,下游,海捕,
新材料-渔具产业链,中游,渔具,钓鱼服,,,
新材料-渔具产业链,下游,服务,休闲,休闲钓,,
新材料-渔具产业链,下游,服务,休闲,海钓,,
新材料-渔具产业链,下游,服务,竞技,,,
新材料-渔具产业链,下游,服务,渔业,,,
新材料-渔具产业链,下游,服务,海捕,,,
新材料-渔具产业链,下游,销售/渠道,,,,
