,node_col_rank,father_node_name,node_name,,,,,,,,,,,
0,0,新能源锂电池产业链,上游,,,,,,,,,,,
1,0,新能源锂电池产业链,中游,,,,,,,,,,,
2,0,新能源锂电池产业链,下游,,,,,,,,,,,
3,1,上游,制造设备,,,,,,,,,,,
4,1,上游,软件系统,,,,,,,,,,,
5,1,上游,原材料,,,,,,,,,,,
6,1,中游,锂电池,横店集团东磁股份有限公司、浙江花园新能源股份有限公司、东阳市日盛电子有限公司、东阳市万顺新能源科技有限公司、浙江瑞邦科技有限公司、宁德时代新能源科技股份有限公司、比亚迪股份有限公司、惠州亿纬锂能股份有限公司、欣旺达电子股份有限公司、孚能科技（赣州）股份有限公司,,,,,,,,,,
7,1,下游,产品应用,,,,,,,,,,,
8,1,下游,服务,,,,,,,,,,,
9,2,制造设备,锂电池制造设备,广东利元亨智能装备股份有限公司、无锡先导智能装备股份有限公司、深圳市赢合科技股份有限公司、福建星云电子股份有限公司、佛山市金银河智能装备股份有限公司、无锡奥特维科技股份有限公司,,,,,,,,,,
10,2,制造设备,锂电池检测设备,浙江杭可科技股份有限公司,,,,,,,,,,
11,2,软件系统,储能系统,,,,,,,,,,,
12,2,原材料,电池芯,,湖南长远锂科股份有限公司,天能电池集团股份有限公司,诺力智能装备股份有限公司,宁德时代新能源科技股份有限公司,广州鹏辉能源科技股份有限公司,惠州亿纬锂能股份有限公司,深圳市德方纳米科技股份有限公司,广东嘉元科技股份有限公司,欣旺达电子股份有限公司,安徽合力股份有限公司
13,2,原材料,结构件,上海派能能源科技股份有限公司,,,,,,,,,,
14,2,锂电池,动力锂电池,,,,,,,,,,,
15,2,锂电池,储能锂电池,,,,,,,,,,,
16,2,锂电池,消费电子锂电池,,,,,,,,,,,
17,2,产品应用,电动汽车,重庆长安汽车股份有限公司,,,,,,,,,,
18,2,产品应用,储能,,,,,,,,,,,
19,2,产品应用,消费电子产品,,,,,,,,,,,
20,2,产品应用,无人机,,,,,,,,,,,
21,2,产品应用,电力辅助服务,,,,,,,,,,,
22,2,服务,废旧电池回收,,,,,,,,,,,
23,2,服务,材料再利用,,,,,,,,,,,
24,3,储能系统,电池管理系统,深圳市海德森科技股份有限公司,,,,,,,,,,
25,3,储能系统,能量管理系统,,,,,,,,,,,
26,3,储能系统,储能逆变器,深圳科士达科技股份有限公司,,,,,,,,,,
27,3,电池芯,正极材料,浙江瑞邦科技有限公司、国轩高科股份有限公司、中伟新材料股份有限公司、宁波杉杉股份有限公司、深圳市德方纳米科技股份有限公司、格林美股份有限公司、苏州天华新能源科技股份有限公司、天能电池集团股份有限公司、宁波容百新能源科技股份有限公司、北京当升材料科技股份有限公司,,,,,,,,,,
28,3,电池芯,负极材料,,,,,,,,,,,
29,3,电池芯,隔膜材料,,,,,,,,,,,
30,3,电池芯,电解液,广州天赐高新材料股份有限公司、深圳新宙邦科技股份有限公司、宁波杉杉股份有限公司,,,,,,,,,,
31,3,结构件,壳体,,,,,,,,,,,
32,3,结构件,塑料膜,,,,,,,,,,,
33,3,结构件,盖板,,,,,,,,,,,
34,3,储能,风能储能,,,,,,,,,,,
35,3,储能,光伏储能,,,,,,,,,,,
36,3,消费电子产品,移动电源,,,,,,,,,,,
37,3,消费电子产品,智能穿戴设备,,,,,,,,,,,
