产业链,上下游,一级节点,二级节点,三级节点,四级节点,五级节点,六级节点
磁性材料,上游,原材料,稀土,,,,
磁性材料,上游,原材料,钼,,,,
磁性材料,上游,原材料,钴,,,,
磁性材料,上游,原材料,钽,,,,
磁性材料,上游,原材料,铋,,,,
磁性材料,上游,原材料,铌,,,,
磁性材料,上游,原材料,锰,,,,
磁性材料,上游,原材料,硼,,,,
磁性材料,上游,原材料,毒重石,,,,
磁性材料,上游,生产设备,,,,,
磁性材料,中游,产业本级,永磁材料,永磁合金,永磁钢,马氏体钢,
磁性材料,中游,产业本级,永磁材料,永磁合金,永磁钢,镍铜环氧磁钢,
磁性材料,中游,产业本级,永磁材料,永磁合金,永磁钢,钕铁硼磁钢,烧结钕铁硼
磁性材料,中游,产业本级,永磁材料,永磁合金,永磁钢,钕铁硼磁钢,粘结钕铁硼
磁性材料,中游,产业本级,永磁材料,永磁合金,永磁钢,钕铁硼磁钢,热压钕铁硼
磁性材料,中游,产业本级,永磁材料,永磁合金,永磁钢,钕铁硼磁钢,钕铁硼磁粉
磁性材料,中游,产业本级,永磁材料,永磁合金,钐钴,,
磁性材料,中游,产业本级,永磁材料,永磁合金,永磁铁铬钴系合金,,
磁性材料,中游,产业本级,永磁材料,永磁合金,永磁铝镍钴系合金,,
磁性材料,中游,产业本级,永磁材料,永磁铁氧体,高磁能积型铁氧体,,
磁性材料,中游,产业本级,永磁材料,永磁铁氧体,高矫顽力型铁氧体,,
磁性材料,中游,产业本级,永磁材料,永磁铁氧体,永磁铁氧体湿压磁瓦,,
磁性材料,中游,产业本级,永磁材料,永磁铁氧体,注塑铁氧体,,
磁性材料,中游,产业本级,永磁材料,永磁铁氧体,粘结铁氧体,,
磁性材料,中游,产业本级,永磁材料,永磁铁氧体,烧结铁氧体,,
磁性材料,中游,产业本级,永磁材料,永磁铁氧体,橡胶磁复合材料,,
磁性材料,中游,产业本级,永磁材料,永磁金属间化合物,,,
磁性材料,中游,产业本级,永磁材料,永磁粉,永磁烧结磁粉,,
磁性材料,中游,产业本级,永磁材料,永磁粉,永磁粘结磁粉,,
磁性材料,中游,产业本级,永磁材料,永磁材料预烧料,,,
磁性材料,中游,产业本级,超导材料,超导合金,铌锆合金,,
磁性材料,中游,产业本级,超导材料,超导合金,铌钛合金,,
磁性材料,中游,产业本级,超导材料,超导合金,三元合金,,
磁性材料,中游,产业本级,超导材料,超导合金,钼锝合金,,
磁性材料,中游,产业本级,超导材料,超导合金,铌铪合金,,
磁性材料,中游,产业本级,超导材料,超导合金,铅铋合金,,
磁性材料,中游,产业本级,超导材料,超导化合物,氢化镧,,
磁性材料,中游,产业本级,超导材料,超导化合物,铌三锡,,
磁性材料,中游,产业本级,超导材料,超导化合物,钒三硅,,
磁性材料,中游,产业本级,超导材料,超导化合物,钒三镓,,
磁性材料,中游,产业本级,超导材料,超导化合物,铌三铝,,
磁性材料,中游,产业本级,超导材料,超导陶瓷,镧钡铜氧化物,,
磁性材料,中游,产业本级,超导材料,超导陶瓷,钡钇铜氧化物,,
磁性材料,中游,产业本级,超导材料,超导线材,,,
磁性材料,中游,产业本级,磁体组件,,,,
磁性材料,中游,产业本级,旋磁材料,,,,
磁性材料,中游,产业本级,软磁材料,坡莫合金,78坡莫合金,,
磁性材料,中游,产业本级,软磁材料,坡莫合金,超坡莫合金,,
磁性材料,中游,产业本级,软磁材料,坡莫合金,镍铁铜系高磁导率合金,,
磁性材料,中游,产业本级,软磁材料,坡莫合金,镍铁铌系高磁导率合金,,
磁性材料,中游,产业本级,软磁材料,软磁铁氧体,锰锌铁氧体,,
磁性材料,中游,产业本级,软磁材料,软磁铁氧体,镍锌铁氧体,,
磁性材料,中游,产业本级,软磁材料,软磁铁氧体,铜芯铁氧体,,
磁性材料,中游,产业本级,软磁材料,软磁铁氧体,锶铁氧体,,
磁性材料,中游,产业本级,软磁材料,非晶软磁,磁性玻璃,,
磁性材料,中游,产业本级,软磁材料,非晶软磁,非晶合金,,
磁性材料,中游,产业本级,软磁材料,软磁粉芯,锰锌软磁磁芯,,
磁性材料,中游,产业本级,软磁材料,软磁粉芯,铁硅铝磁粉芯,,
磁性材料,中游,产业本级,软磁材料,软磁粉芯,硅铁磁粉芯,,
磁性材料,中游,产业本级,软磁材料,软磁粉芯,铁镍磁粉芯,,
磁性材料,中游,产业本级,软磁材料,软磁粉芯,铁轨镍磁粉芯,,
磁性材料,中游,产业本级,软磁材料,软磁粉芯,铁镍钼磁粉芯,,
磁性材料,中游,产业本级,软磁材料,软磁粉芯,铁粉芯,,
磁性材料,中游,产业本级,软磁材料,软磁粉,铁硅磁粉,,
磁性材料,中游,产业本级,软磁材料,软磁粉,铁硅铝磁粉,,
磁性材料,中游,产业本级,软磁材料,软磁粉,铁硅铬磁粉,,
磁性材料,中游,产业本级,软磁材料,软磁粉,片状合金软磁粉,,
磁性材料,中游,产业本级,软磁材料,软磁粉,合金钢软磁粉,,
磁性材料,中游,产业本级,软磁材料,软磁粉,吸波软磁粉,,
磁性材料,中游,产业本级,软磁材料,软磁粉,雾化粉末,,
磁性材料,中游,产业本级,软磁材料,软磁粉,破碎粉末,,
磁性材料,中游,产业本级,软磁材料,软磁铁系合金,仙台斯特合金,,
磁性材料,中游,产业本级,软磁材料,软磁铁系合金,电工软铁,,
磁性材料,中游,产业本级,软磁材料,软磁铁系合金,软铝合金,,
磁性材料,中游,产业本级,软磁材料,软磁铁系合金,阿尔帕姆高磁导率合金,,
磁性材料,中游,产业本级,软磁材料,软磁铁系合金,珀明德铁钴系高磁导率合金,,
磁性材料,中游,产业本级,软磁材料,软磁铁系合金,纳米晶合金,,
磁性材料,中游,产业本级,压磁材料,,,,
磁性材料,下游,销售渠道,其他商品贸易,,,,
磁性材料,下游,产品/业务,超低频滤波器,,,,
磁性材料,下游,产品/业务,超导线材,,,,
磁性材料,下游,产品/业务,家用电器,,,,
磁性材料,下游,产品/业务,特种电缆,,,,
磁性材料,下游,产品/业务,继电器,,,,
磁性材料,下游,产品/业务,永磁式直流发电机,,,,
磁性材料,下游,产品/业务,电磁铁线圈,,,,
磁性材料,下游,产品/业务,墨粉,,,,
磁性材料,下游,产品/业务,通信接入设备,,,,
磁性材料,下游,产品/业务,磁性载体,,,,
磁性材料,下游,产品/业务,电感器,,,,
磁性材料,下游,产品/业务,特种变压器,,,,
磁性材料,下游,产品/业务,射频滤波器,,,,
磁性材料,下游,产品/业务,磁性器件,,,,
磁性材料,下游,产品/业务,移动通信天线,,,,
磁性材料,下游,产品/业务,电子管,,,,
磁性材料,下游,产品/业务,光衰减器,,,,
磁性材料,下游,产品/业务,开关电器,,,,
磁性材料,下游,产品/业务,智能耳机,,,,
磁性材料,下游,产品/业务,超声波雷达,,,,
