,node_col_rank,father_node_name,node_name
0,0,磁性材料,上游
1,0,磁性材料,中游
2,0,磁性材料,下游
3,1,上游,原材料
4,1,上游,生产设备
5,1,中游,产业本级
6,1,下游,销售渠道
7,1,下游,产品/业务
8,2,原材料,稀土
9,2,原材料,钼
10,2,原材料,钴
11,2,原材料,钽
12,2,原材料,铋
13,2,原材料,铌
14,2,原材料,锰
15,2,原材料,硼
16,2,原材料,毒重石
17,2,产业本级,永磁材料
18,2,产业本级,超导材料
19,2,产业本级,磁体组件
20,2,产业本级,旋磁材料
21,2,产业本级,软磁材料
22,2,产业本级,压磁材料
23,2,销售渠道,其他商品贸易
24,2,产品/业务,超低频滤波器
25,2,产品/业务,超导线材
26,2,产品/业务,家用电器
27,2,产品/业务,特种电缆
28,2,产品/业务,继电器
29,2,产品/业务,永磁式直流发电机
30,2,产品/业务,电磁铁线圈
31,2,产品/业务,墨粉
32,2,产品/业务,通信接入设备
33,2,产品/业务,磁性载体
34,2,产品/业务,电感器
35,2,产品/业务,特种变压器
36,2,产品/业务,射频滤波器
37,2,产品/业务,磁性器件
38,2,产品/业务,移动通信天线
39,2,产品/业务,电子管
40,2,产品/业务,光衰减器
41,2,产品/业务,开关电器
42,2,产品/业务,智能耳机
43,2,产品/业务,超声波雷达
44,3,永磁材料,永磁合金
45,3,永磁材料,永磁铁氧体
46,3,永磁材料,永磁金属间化合物
47,3,永磁材料,永磁粉
48,3,永磁材料,永磁材料预烧料
49,3,超导材料,超导合金
50,3,超导材料,超导化合物
51,3,超导材料,超导陶瓷
52,3,超导材料,超导线材
53,3,软磁材料,坡莫合金
54,3,软磁材料,软磁铁氧体
55,3,软磁材料,非晶软磁
56,3,软磁材料,软磁粉芯
57,3,软磁材料,软磁粉
58,3,软磁材料,软磁铁系合金
59,4,永磁合金,永磁钢
60,4,永磁合金,钐钴
61,4,永磁合金,永磁铁铬钴系合金
62,4,永磁合金,永磁铝镍钴系合金
63,4,永磁铁氧体,高磁能积型铁氧体
64,4,永磁铁氧体,高矫顽力型铁氧体
65,4,永磁铁氧体,永磁铁氧体湿压磁瓦
66,4,永磁铁氧体,注塑铁氧体
67,4,永磁铁氧体,粘结铁氧体
68,4,永磁铁氧体,烧结铁氧体
69,4,永磁铁氧体,橡胶磁复合材料
70,4,永磁粉,永磁烧结磁粉
71,4,永磁粉,永磁粘结磁粉
72,4,超导合金,铌锆合金
73,4,超导合金,铌钛合金
74,4,超导合金,三元合金
75,4,超导合金,钼锝合金
76,4,超导合金,铌铪合金
77,4,超导合金,铅铋合金
78,4,超导化合物,氢化镧
79,4,超导化合物,铌三锡
80,4,超导化合物,钒三硅
81,4,超导化合物,钒三镓
82,4,超导化合物,铌三铝
83,4,超导陶瓷,镧钡铜氧化物
84,4,超导陶瓷,钡钇铜氧化物
85,4,坡莫合金,78坡莫合金
86,4,坡莫合金,超坡莫合金
87,4,坡莫合金,镍铁铜系高磁导率合金
88,4,坡莫合金,镍铁铌系高磁导率合金
89,4,软磁铁氧体,锰锌铁氧体
90,4,软磁铁氧体,镍锌铁氧体
91,4,软磁铁氧体,铜芯铁氧体
92,4,软磁铁氧体,锶铁氧体
93,4,非晶软磁,磁性玻璃
94,4,非晶软磁,非晶合金
95,4,软磁粉芯,锰锌软磁磁芯
96,4,软磁粉芯,铁硅铝磁粉芯
97,4,软磁粉芯,硅铁磁粉芯
98,4,软磁粉芯,铁镍磁粉芯
99,4,软磁粉芯,铁轨镍磁粉芯
100,4,软磁粉芯,铁镍钼磁粉芯
101,4,软磁粉芯,铁粉芯
102,4,软磁粉,铁硅磁粉
103,4,软磁粉,铁硅铝磁粉
104,4,软磁粉,铁硅铬磁粉
105,4,软磁粉,片状合金软磁粉
106,4,软磁粉,合金钢软磁粉
107,4,软磁粉,吸波软磁粉
108,4,软磁粉,雾化粉末
109,4,软磁粉,破碎粉末
110,4,软磁铁系合金,仙台斯特合金
111,4,软磁铁系合金,电工软铁
112,4,软磁铁系合金,软铝合金
113,4,软磁铁系合金,阿尔帕姆高磁导率合金
114,4,软磁铁系合金,珀明德铁钴系高磁导率合金
115,4,软磁铁系合金,纳米晶合金
116,5,永磁钢,马氏体钢
117,5,永磁钢,镍铜环氧磁钢
118,5,永磁钢,钕铁硼磁钢
