vocabulary,voc_cmt,idx,similarity,pt,node_name,node_code
集成电路制造用的材料,2,0,0.9880433994853998,034,制造材料,0340101
制造集成电路所需的材料,1,0,0.9764218596996153,034,制造材料,0340101
集成电路材料制造,1,0,0.9762432327628108,034,制造材料,0340101
集成电路材料,14,0,0.9721286500269374,034,制造材料,0340101
芯片材料,5,0,0.9702256928457574,034,制造材料,0340101
集成电路及材料的制造,2,0,0.9677518610074781,034,制造材料,0340101
集成电路制造用材料的研发,1,0,0.9659452820635506,034,制造材料,0340101
集成电路及材料,1,0,0.9642539802416267,034,制造材料,0340101
集成电路材料生产,1,0,0.9630599146108764,034,制造材料,0340101
集成电路材料的生产,1,0,0.9608961637297367,034,制造材料,0340101
集成电路所需的材料,2,0,0.9597156226992105,034,制造材料,0340101
芯片及原材料,4,0,0.9597022003533917,034,制造材料,0340101
芯片新材料的制造,1,0,0.9572265828701992,034,制造材料,0340101
集成电路和材料制造,1,0,0.9564703350671777,034,制造材料,0340101
芯片材料配件的设计,2,0,0.9560965691867772,034,制造材料,0340101
芯片材料研发,1,0,0.9555123746250876,034,制造材料,0340101
集成电路零件及材料,1,0,0.9549034503441649,034,制造材料,0340101
集成电路相关材料,1,0,0.9531845582137061,034,制造材料,0340101
集成电路及材料的生产与加工,1,0,0.9517034643368436,034,制造材料,0340101
芯片研发制造,3,0,0.9510982933050532,034,制造材料,0340101
芯片配件材料的生产,3,0,0.9507855367117067,034,制造材料,0340101
芯片设计制造,1,0,0.9498655820120463,034,制造材料,0340101
芯片材料配件的生产,1,0,0.948638416662649,034,制造材料,0340101
芯片制造,22,0,0.9484913738603938,034,制造材料,0340101
芯料,4,0,0.948131529227179,034,制造材料,0340101
芯片材料的研究,1,0,0.9479234124616203,034,制造材料,0340101
芯片制造设备,5,0,0.9479002982026252,034,制造材料,0340101
芯片生产耗材,1,0,0.9473328741520449,034,制造材料,0340101
芯片及相关材料的研发,1,0,0.9463183257223695,034,制造材料,0340101
集成电路材料及设备,2,0,0.9462531018450842,034,制造材料,0340101
芯材,3,0,0.9455442035763454,034,制造材料,0340101
集成电路的零件及原材料,6,0,0.9447580050348946,034,制造材料,0340101
芯片材料的制造与销售,2,0,0.9445723039524999,034,制造材料,0340101
芯材料研发,1,0,0.9417066536263531,034,制造材料,0340101
芯材制造,1,0,0.9412618508054615,034,制造材料,0340101
芯片基础材料,1,0,0.9404922218330788,034,制造材料,0340101
制造芯,1,0,0.9400529285891226,034,制造材料,0340101
IC制造,1,0,0.939719167233477,034,制造材料,0340101
集成电路设备及材料,1,0,0.9377509473407439,034,制造材料,0340101
集成电路用材料的研发,1,0,0.9373532372046581,034,制造材料,0340101
IC制品,2,0,0.9372953964603224,034,制造材料,0340101
集成电路专用材料,2,0,0.9370643731849854,034,制造材料,0340101
集成电路原材料,4,0,0.9370256970780058,034,制造材料,0340101
集成电路及材料的研发,1,0,0.9366430124216742,034,制造材料,0340101
集成电路及相关材料,5,0,0.9366138207215926,034,制造材料,0340101
芯片制造装备的设计,1,0,0.935776509435877,034,制造材料,0340101
各种集成电路材料,1,0,0.9351812229494757,034,制造材料,0340101
芯片制造设备制造,1,0,0.9349960905430164,034,制造材料,0340101
集成电路材料的研发,1,0,0.9348022147415429,034,制造材料,0340101
芯片基材技术,2,0,0.9341740457432034,034,制造材料,0340101
集成电路封装材料,9,1,0.9999999999996411,034,封装材料,0340102
集成电路封装材料的生产,1,1,0.9879170967963478,034,封装材料,0340102
芯片集成电路,14,1,0.9846713977938776,034,封装材料,0340102
芯片集成电路设计,2,1,0.984471055513664,034,封装材料,0340102
集成电路封装材料的研发,4,1,0.9825662275221534,034,封装材料,0340102
集成电路芯片制作,1,1,0.9825159109343377,034,封装材料,0340102
集成电路芯片,1027,1,0.9776634234914723,034,封装材料,0340102
集成电路芯片设计,177,1,0.9775626437424403,034,封装材料,0340102
集成电路芯片制造,74,1,0.9773633983596869,034,封装材料,0340102
集成电路电路芯片制造,1,1,0.9745368985342443,034,封装材料,0340102
ic芯片封装,1,1,0.9739915262852917,034,封装材料,0340102
集成电路芯片研制,1,1,0.9739891982870473,034,封装材料,0340102
电路封装材料,1,1,0.9734899859579408,034,封装材料,0340102
集成电路芯片制造技术,1,1,0.9730704589290843,034,封装材料,0340102
集成电路以及芯片,1,1,0.9719380871167171,034,封装材料,0340102
集成电路芯片技术,2,1,0.9714015788480901,034,封装材料,0340102
在集成电路芯片,1,1,0.9711371230125087,034,封装材料,0340102
集成电路及芯片,50,1,0.9710220357737555,034,封装材料,0340102
集成电路封装材料的销售,1,1,0.9702863677683364,034,封装材料,0340102
集成电路制造及封装材料,1,1,0.9701864994544679,034,封装材料,0340102
集成电路芯片集成,1,1,0.9695734347857013,034,封装材料,0340102
芯片及集成电路,4,1,0.9692675704565241,034,封装材料,0340102
集成电路芯片的制造,7,1,0.9690142376547375,034,封装材料,0340102
集成电路芯片IC,3,1,0.9689129889546279,034,封装材料,0340102
集成电路和芯片,3,1,0.9686827550562543,034,封装材料,0340102
集成电路与芯片,2,1,0.9686001448820023,034,封装材料,0340102
芯片集成电路的生产,4,1,0.9684365090053363,034,封装材料,0340102
电集成电路芯片设计,1,1,0.9683414014376114,034,封装材料,0340102
集成电路及芯片设计,5,1,0.9678417105397755,034,封装材料,0340102
集成电路封装设备,9,1,0.9673640840153027,034,封装材料,0340102
集成电路芯片产品,23,1,0.967033195592924,034,封装材料,0340102
开发和制造集成电路芯片,1,1,0.9664872686410001,034,封装材料,0340102
集成电路设计和芯片制造,3,1,0.966338257317209,034,封装材料,0340102
集成电路芯片生产,2,1,0.9662551313884654,034,封装材料,0340102
电子芯片集成电路,3,1,0.9651420778398346,034,封装材料,0340102
芯片及集成电路设计,2,1,0.9648205894740409,034,封装材料,0340102
生产集成电路的芯片,1,1,0.9640145672339282,034,封装材料,0340102
集成电路封装用材料的销售,1,1,0.9635912690527456,034,封装材料,0340102
集成电路芯片设计生产,1,1,0.9632988666223282,034,封装材料,0340102
集成电路芯片的设计制作,1,1,0.963249835995951,034,封装材料,0340102
生产集成电路芯片,7,1,0.96324229506003,034,封装材料,0340102
芯片集成电路研发,1,1,0.9624337553717015,034,封装材料,0340102
芯片集成电路的研发,7,1,0.9622398030238372,034,封装材料,0340102
芯片封装材料,7,1,0.9621082329443461,034,封装材料,0340102
集成电子电路芯片设计,1,1,0.9617811575853008,034,封装材料,0340102
集成电路IC芯片,3,1,0.960745024534402,034,封装材料,0340102
从事集成电路芯片的设计,1,1,0.9602962280705312,034,封装材料,0340102
计算机集成电路芯片设计,1,1,0.960270288102879,034,封装材料,0340102
集中电路芯片,1,1,0.9602399082787272,034,封装材料,0340102
集成电路封装,209,1,0.9602299364801804,034,封装材料,0340102
芯片生产设备,2,2,0.9999999999997007,034,IC生产设备,0340103
集成电路生产设备,14,2,0.9999999999996597,034,IC生产设备,0340103
芯片生产设备制造,1,2,0.9906681162714736,034,IC生产设备,0340103
集成电路生产设备制造,17,2,0.9879660241249234,034,IC生产设备,0340103
集成电路生产设备及零件,1,2,0.982725902815501,034,IC生产设备,0340103
集成电路生产设备的研制,2,2,0.9825731972459495,034,IC生产设备,0340103
集成电路生产设备及配件,1,2,0.9821165598285503,034,IC生产设备,0340103
集成电路生产设备零部件,1,2,0.9793303120216234,034,IC生产设备,0340103
集成电路生产设备的设计,1,2,0.9791863454787151,034,IC生产设备,0340103
芯片生产设备及配件的研发,2,2,0.9791417464171323,034,IC生产设备,0340103
制造集成电路生产设备,3,2,0.9771296564444428,034,IC生产设备,0340103
集成电路生产装备,7,2,0.9759732236582371,034,IC生产设备,0340103
集成电路生产设备的研发,2,2,0.9756824794693242,034,IC生产设备,0340103
集成电路生产设备研发,3,2,0.9737040442803228,034,IC生产设备,0340103
集成电路生产线设备制造,5,2,0.9713093383850144,034,IC生产设备,0340103
芯片设计及生产,1,2,0.9693978753214947,034,IC生产设备,0340103
芯片设计与生产,1,2,0.9688229238532354,034,IC生产设备,0340103
集成电路及集成电路生产设备的研发,1,2,0.9687451452363076,034,IC生产设备,0340103
生产芯片,6,2,0.9660682390544832,034,IC生产设备,0340103
芯片设计的生产,2,2,0.9653212871361562,034,IC生产设备,0340103
芯片设备的研发生产与制造,1,2,0.9651031118352074,034,IC生产设备,0340103
集成电路生产专用设备,1,2,0.9649592926631522,034,IC生产设备,0340103
集成电路设备的生产,2,2,0.9638947270906779,034,IC生产设备,0340103
芯片制造设备,5,2,0.9610547886807517,034,IC生产设备,0340103
集成电路装备的生产,4,2,0.9602392282097668,034,IC生产设备,0340103
芯片产品的生产加工,2,2,0.9594918280680379,034,IC生产设备,0340103
芯片生产及研发,1,2,0.9582987091272545,034,IC生产设备,0340103
芯片生产制造,1,2,0.9580418369748154,034,IC生产设备,0340103
芯片的生产,28,2,0.957035371608652,034,IC生产设备,0340103
集成电路制造设备,5,2,0.9569654847333219,034,IC生产设备,0340103
芯片研发与生产,3,2,0.956590113365591,034,IC生产设备,0340103
集成电路制造用设备,1,2,0.9559952271609526,034,IC生产设备,0340103
芯片的生产及加工,1,2,0.9559462183306182,034,IC生产设备,0340103
芯片研发及生产,1,2,0.9549895509702351,034,IC生产设备,0340103
芯片的生产加工,2,2,0.9549810281462485,034,IC生产设备,0340103
芯片的生产和加工,1,2,0.9527751311065359,034,IC生产设备,0340103
IC的生产,7,2,0.9523288324163866,034,IC生产设备,0340103
芯片生产耗材,1,2,0.9523116751848739,034,IC生产设备,0340103
芯片及其元器件的生产,1,2,0.9523061867620481,034,IC生产设备,0340103
研发生产芯片,1,2,0.951855579759295,034,IC生产设备,0340103
IC产品的生产,2,2,0.95154288390766,034,IC生产设备,0340103
芯片设计研发生产,1,2,0.9511768037230064,034,IC生产设备,0340103
IC生产,1,2,0.9511661890260343,034,IC生产设备,0340103
器件及集成电路生产设备,5,2,0.9504732413749335,034,IC生产设备,0340103
芯片生产,21,2,0.9501201408586954,034,IC生产设备,0340103
IC的生产加工,2,2,0.9501043550160286,034,IC生产设备,0340103
芯片及其组件的生产,4,2,0.9501025236597466,034,IC生产设备,0340103
集成电路生产设备的研发与销售,1,2,0.949870913462316,034,IC生产设备,0340103
芯片制造设备研发,1,2,0.9490557805274175,034,IC生产设备,0340103
集成电路生产设备的研发及销售,1,2,0.9485954537907847,034,IC生产设备,0340103
集成电路设计,171789,3,0.9999999999995668,034,集成电路设计,0340104
IC设计,25,3,0.9999999999994852,034,集成电路设计,0340104
芯片设计,310,3,0.9999999999994608,034,集成电路设计,0340104
计集成电路设计,1,3,0.9941384688538598,034,集成电路设计,0340104
IC的设计,2,3,0.991233213989071,034,集成电路设计,0340104
集成电路的设计,2176,3,0.9899631173124082,034,集成电路设计,0340104
集成电路设,5,3,0.9838531252073818,034,集成电路设计,0340104
集成电路的的设计,1,3,0.9836321156270814,034,集成电路设计,0340104
集成电路等设计,1,3,0.9825637324950878,034,集成电路设计,0340104
集成电路制作设计,1,3,0.981208748644491,034,集成电路设计,0340104
集成电路等的设计,1,3,0.9799329653696566,034,集成电路设计,0340104
芯片設計,1,3,0.9748296767396325,034,集成电路设计,0340104
设计集成电路,15,3,0.9741839847700724,034,集成电路设计,0340104
芯片设备,5,3,0.9728579239762841,034,集成电路设计,0340104
集成电路路设计,2,3,0.9718841312560764,034,集成电路设计,0340104
集成电路有关的设计,2,3,0.9716326016324345,034,集成电路设计,0340104
集成电路的,2,3,0.9714732280795181,034,集成电路设计,0340104
集成电路的设计计算机,1,3,0.9707997546045118,034,集成电路设计,0340104
集成电路及设计,2,3,0.9692798368418954,034,集成电路设计,0340104
集成电路,39741,3,0.9685340940890764,034,集成电路设计,0340104
集成电路路的设计,1,3,0.9685274372070775,034,集成电路设计,0340104
从事集成电路设计,26,3,0.9681750738869856,034,集成电路设计,0340104
集成电路与元器件设计,1,3,0.9680184074515947,034,集成电路设计,0340104
体集成电路,1,3,0.9674504737742162,034,集成电路设计,0340104
芯片的设计,139,3,0.9674117075006256,034,集成电路设计,0340104
计算机集成电路设计,49,3,0.967291273508791,034,集成电路设计,0340104
集成电路的设计制造,2,3,0.9669020673289574,034,集成电路设计,0340104
IC产品的设计,2,3,0.9666948743682926,034,集成电路设计,0340104
从事芯片设计,5,3,0.9666702349749463,034,集成电路设计,0340104
集式电路设计,1,3,0.9653937021168605,034,集成电路设计,0340104
设计芯片产品,1,3,0.9650748334022047,034,集成电路设计,0340104
芯片设计制造,1,3,0.964907848461286,034,集成电路设计,0340104
芯片,3815,3,0.964414679558559,034,集成电路设计,0340104
计算机集成电路的设计,2,3,0.9642158706560819,034,集成电路设计,0340104
集成电路的制作,1,3,0.9638591015608585,034,集成电路设计,0340104
集成电路制作,3,3,0.9637454709596146,034,集成电路设计,0340104
集成电路电路,1,3,0.96334830484283,034,集成电路设计,0340104
IC设备,3,3,0.9633002616887628,034,集成电路设计,0340104
集成电路组装,6,3,0.9630987037283492,034,集成电路设计,0340104
芯片及其组件的设计,8,3,0.9630484815262816,034,集成电路设计,0340104
集成电路在,1,3,0.96285732215236,034,集成电路设计,0340104
集成电路制造设计,2,3,0.9624216968145485,034,集成电路设计,0340104
集成电路领域的设计,2,3,0.9624122530979232,034,集成电路设计,0340104
芯片产品设计,3,3,0.9618712483070869,034,集成电路设计,0340104
IC芯片设计,2,3,0.9618623650392888,034,集成电路设计,0340104
从事集成电路的设计,12,3,0.9617978712409774,034,集成电路设计,0340104
芯片产品,36,3,0.9613790339391995,034,集成电路设计,0340104
集成电路组件,5,3,0.9612782690927345,034,集成电路设计,0340104
集成电路电器设计,1,3,0.9609930071391288,034,集成电路设计,0340104
集成电路及配件设计,1,3,0.9609781096800443,034,集成电路设计,0340104
芯片制造,22,4,0.9999999999994262,034,集成电路制造,0340201
集成电路制造,26151,4,0.9999999999994056,034,集成电路制造,0340201
IC制造,1,4,0.9999999999988277,034,集成电路制造,0340201
集成电路的制造,118,4,0.9854373237525457,034,集成电路制造,0340201
集成电路设计制造,3,4,0.984252603638426,034,集成电路制造,0340201
