node_id,node_col_rank,father_node_name,node_name,description
0,0,{集成电路}产业链,上游,产业上游
1,0,{集成电路}产业链,中游,产业本体
2,0,{集成电路}产业链,下游,产业下游
3,1,上游,{集成电路}原材料,产业上游中的原材料
4,1,上游,{集成电路}生产设备,产业上游中的生产设备
5,1,上游,{集成电路}技术支持,产业上游中的技术服务
6,1,中游,{集成电路}本体产业,本产业
7,1,下游,{集成电路}产品应用,产业下游中的产业应用
8,2,{集成电路}原材料,半导体材料,半导体材料是指在温度低于室温时是绝缘体，而在高于室温时又能够部分导电的材料。常见的半导体材料包括硅、锗、砷化镓、氮化硅、氮化镓等。
9,2,{集成电路}原材料,封装材料,用于封装半导体芯片的材料
10,2,{集成电路}原材料,CMP抛光材料,CMP（Chemical Mechanical Polishing，化学机械抛光）抛光材料是用于集成电路制造中的一种重要材料。它通过在磨料和化学溶液的作用下，同时进行化学和机械作用来抛光硅片表面，使其变得光滑，以便进行后续的加工工艺。
11,2,{集成电路}原材料,MO源,MO源中的MO代表金属氧化物，例如，铝氧化物（Al2O3）源、钨氧化物（WO3）源等。通过加热MO源，使其分解或蒸发出目标金属氧化物，然后在衬底上形成所需的薄膜。主要用于提供沉积薄膜的材料。
12,2,{集成电路}原材料,湿电子化学品,湿电子化学品是半导体制造过程中使用的一类化学品，其主要功能是用于清洗、去除表面污染物和加工材料。
13,2,{集成电路}原材料,印制电路板,印制电路板（Printed Circuit Board，PCB）是一种用于电子设备连接的基础材料。它是一种通过在一块绝缘材料上镀上导电铜箔、制作成所需的电路图案和文字，然后进行钻孔、穿孔、压合、焊接、组装等工艺步骤制成的。
14,2,{集成电路}原材料,溅镀靶材,溅镀靶材是一种用于物理气相沉积（PVD）或化学气相沉积（CVD）等工艺的材料。
15,2,{集成电路}原材料,光掩模板,光掩模板是半导体制造过程中的一种光刻工具，它是由玻璃、石英等材料制成的，表面上覆盖着光刻胶。
16,2,{集成电路}原材料,光刻胶,光刻胶是一种涂覆在半导体晶片表面的光刻材料，用于制造集成电路或其他微电子器件中的图案和结构。
17,2,{集成电路}原材料,高纯特种气体,高纯特种气体是指纯度高于99.995%（5N5）的气体，包括但不限于氧气、氮气、氦气、氩气、氢气、二氧化碳等。
18,2,{集成电路}原材料,高纯试剂,高纯试剂指纯度较高（通常达到99.99%以上）的化学试剂，通常用于半导体、光电子、生物技术等领域的研究和应用。
19,2,{集成电路}生产设备,设计工具EDA,EDA（Electronic Design Automation，电子设计自动化）是指通过计算机软件工具实现电路设计、模拟、验证、实现和测试的过程。
20,2,{集成电路}生产设备,IC生产设备,IC生产设备是指集成电路（Integrated Circuit，IC）的制造设备，用于制造各种类型的芯片，如存储器、处理器、传感器等等。
21,2,{集成电路}生产设备,衬底生产设备,衬底生产设备是用于制造半导体器件中的衬底的设备，其中衬底通常是晶圆形状。衬底生产设备通常包括以下几种：
22,2,{集成电路}生产设备,封装测试设备,
23,2,{集成电路}技术支持,数字电路设计,数字电路设计是指使用数字电路设计语言（如Verilog、VHDL等）和相关工具（如EDA工具）来实现数字电路功能的过程。
24,2,{集成电路}技术支持,模拟电路设计,模拟电路设计是一种将模拟信号处理电路或系统设计成为特定功能或应用的过程。
25,2,{集成电路}技术支持,系统级芯片设计（soc）,系统级芯片设计（System-on-Chip，SoC）是一种将多个不同功能的模块或IP（Intellectual Property，知识产权）集成到单一芯片上的技术，包括处理器核心、存储器、输入输出接口、通信接口、模拟/数字转换器、加速器等。
26,2,{集成电路}技术支持,其他芯片设计,
27,2,{集成电路}技术支持,集成电路IP,集成电路IP（Intellectual Property）是指可在不同电路系统中使用的预先设计好的、可重用的功能模块，例如微处理器核、内存、接口、计时器等等。
28,2,{集成电路}本体产业,集成电路封测,集成电路封测是指将芯片封装并测试的过程，封装是将芯片与外部世界连接的关键步骤。
29,2,{集成电路}本体产业,集成电路（制造）,集成电路（Integrated Circuit，IC）指的是将数百到数十亿个电子元器件（如晶体管、电容、电阻等）以微影技术集成在一个芯片上的电子元件，通常也称作芯片。
30,2,{集成电路}产品应用,新能源,
31,2,{集成电路}产品应用,信息通信,信息通信（Information and Communication）指的是通过各种技术手段进行信息传递和交流的活动，包括语音通信、数据通信、视频通信等。
32,2,{集成电路}产品应用,医疗保健设备,
33,2,{集成电路}产品应用,IT产品,包括但不限于计算机、手机、平板电脑、网络设备、存储设备、软件等。
34,2,{集成电路}产品应用,家用电器,
35,2,{集成电路}产品应用,智能电网,
36,3,半导体材料,硅,硅是一种常见的化学元素，化学符号为Si，原子序数14。
37,3,半导体材料,氮化镓,氮化镓（GaN）是一种新型的半导体材料，由镓（Ga）和氮（N）元素组成。
38,3,半导体材料,砷化镓,砷化镓（Gallium arsenide，简称GaAs）是一种化合物半导体材料，由镓（Ga）和砷（As）元素组成。
39,3,半导体材料,磷化铟,磷化铟（InP）是一种III-V族化合物半导体材料，由铟（In）和磷（P）元素组成。
40,3,封装材料,硅胶,硅胶是一种高分子材料，其主要成分是二氧化硅（SiO2），具有柔软、耐热、耐寒、耐老化、无毒、无味、化学稳定等优点。
41,3,封装材料,基板,基板是指集成电路（IC）的物理载体，它是由导电和绝缘材料组成的平板。
42,3,封装材料,导电胶,导电胶是一种导电性能优良的粘合剂材料，通常由导电颗粒和粘合剂组成。
43,3,封装材料,键合丝,键合丝是半导体封装中使用的一种材料，通常由金属制成，用于将芯片与封装基板之间的连接。
44,3,封装材料,引线框架,引线框架（lead frame）是封装芯片时用来连接芯片和外部引脚的一种金属结构。
45,3,CMP抛光材料,CMP抛光液,CMP抛光液是用于化学机械抛光（Chemical Mechanical Polishing，CMP）的一种液体溶液。
46,3,CMP抛光材料,研磨液,研磨液是一种用于半导体制造中的液体，用于在晶圆表面进行研磨或抛光。
47,3,CMP抛光材料,抛光垫,抛光垫是CMP（化学机械抛光）抛光过程中的关键部件之一，通常被称为“CMP垫片”或“抛光垫”。
48,3,湿电子化学品,蚀刻液,蚀刻液是一种化学制剂，通常用于半导体制造中的制程步骤，如在制造集成电路的过程中，用于去除不需要的材料层。蚀刻液根据需要去除的材料种类和厚度，可以选择不同的化学成分和浓度，以实现更好的蚀
