id,click,device_conn_type,C14,C15,C16,C17,C18,C19,C21
1.00E+18,1,2,15706,320,50,1722,0,35,79
1.00E+19,1,0,15704,320,50,1722,0,35,79
1.00E+19,1,0,15704,320,50,1722,0,35,79
1.00E+19,1,0,15706,320,50,1722,0,35,79
1.00E+19,1,0,18993,320,50,2161,0,35,157
1.00E+19,1,0,16920,320,50,1899,0,431,117
1.00E+19,1,0,20362,320,50,2333,0,39,157
1.00E+19,1,0,20632,320,50,2374,3,39,23
1.00E+19,1,2,15707,320,50,1722,0,35,79
1.00E+19,1,0,21689,320,50,2496,3,167,23
1.00E+19,1,0,17747,320,50,1974,2,39,33
1.00E+19,1,0,15701,320,50,1722,0,35,79
1.00E+19,1,2,20596,320,50,2161,0,35,157
1.00E+19,1,0,19771,320,50,2227,0,687,48
1.00E+19,1,0,20984,320,50,2371,0,551,46
1.00E+19,1,0,15699,320,50,1722,0,35,79
1.00E+19,1,0,17914,320,50,2043,2,39,32
1.00E+19,1,2,15708,320,50,1722,0,35,79
1.00E+19,1,0,6558,320,50,571,2,39,32
1.00E+19,1,0,21234,320,50,2434,3,163,61
1.00E+19,1,0,20352,320,50,2333,0,39,157
1.00E+19,1,0,15706,320,50,1722,0,35,79
1.00E+19,1,0,20366,320,50,2333,0,39,157
1.00E+19,1,0,15701,320,50,1722,0,35,79
1.00E+19,1,0,15706,320,50,1722,0,35,79
1.00E+19,1,0,21665,320,50,2493,3,35,117
1.00E+19,1,0,20984,320,50,2371,0,551,46
1.00E+19,1,0,21611,320,50,2480,3,297,61
1.00E+19,1,0,20366,320,50,2333,0,39,157
1.00E+19,1,0,15706,320,50,1722,0,35,79
1.00E+19,1,3,15708,320,50,1722,0,35,79
1.00E+19,1,0,16838,320,50,1882,3,35,13
1.00E+19,1,0,15708,320,50,1722,0,35,79
1.00E+19,1,0,15699,320,50,1722,0,35,79
1.00E+19,1,0,20362,320,50,2333,0,39,157
1.00E+19,1,3,18987,320,50,2158,3,291,61
1.00E+19,1,0,20596,320,50,2161,0,35,157
1.00E+19,1,0,18993,320,50,2161,0,35,157
1.00E+19,1,0,18993,320,50,2161,0,35,157
1.00E+19,1,0,15706,320,50,1722,0,35,79
