datetime,A,B,C,D,E,F,G
2006-12-16,302.29,34.92,93552.53,5180.8,0.0,546.0,4926.0
2006-12-17,847.62,226.01,345725.32,14398.6,2033.0,4187.0,13341.0
2006-12-18,550.96,161.79,347373.64,9247.2,1063.0,2621.0,14018.0
2006-12-19,416.55,150.94,348479.01,7094.0,839.0,7602.0,6197.0
2006-12-20,556.44,161.0,348923.61,9313.0,0.0,2648.0,14063.0
2006-12-21,429.16,144.17,346616.31,7238.6,1765.0,2623.0,10421.0
2006-12-22,585.33,186.91,347305.75,9897.0,3151.0,350.0,11131.0
2006-12-23,1193.35,221.47,345795.95,20200.4,2669.0,425.0,14726.0
2006-12-24,637.5,149.9,348029.91,11002.2,1703.0,5082.0,6891.0
2006-12-25,685.78,240.28,350495.9,11450.2,6620.0,1962.0,5795.0
2006-12-26,983.53,165.1,347940.63,16341.0,1086.0,2533.0,14979.0
2006-12-27,382.19,178.9,351025.0,6505.2,0.0,314.0,6976.0
2006-12-28,518.16,208.88,350306.4,8764.2,2207.0,4419.0,9176.0
2006-12-29,793.6,196.39,346854.68,13350.8,1252.0,5162.0,11329.0
2006-12-30,697.33,311.93,345897.51,11924.2,3072.0,7891.0,12480.0
2006-12-31,873.55,150.85,345451.07,14687.4,0.0,347.0,6502.0
2007-01-01,687.25,148.17,345785.73,11400.4,0.0,352.0,5880.0
2007-01-02,317.31,190.34,348399.04,5348.2,0.0,348.0,6562.0
2007-01-03,253.51,196.73,350722.21,4340.2,0.0,344.0,4765.0
2007-01-04,814.85,202.3,345240.43,13648.6,1051.0,7597.0,10896.0
2007-01-05,678.34,173.15,346313.9,11354.6,1483.0,379.0,7602.0
2007-01-06,377.09,192.19,345129.2,6543.2,1336.0,402.0,5678.0
2007-01-07,611.91,246.07,346899.58,10487.0,1987.0,8177.0,12810.0
2007-01-08,560.34,207.57,344990.81,9434.4,0.0,467.0,17547.0
2007-01-09,467.26,207.25,346302.03,7950.4,1688.0,4267.0,9790.0
2007-01-10,538.7,228.45,347079.53,9155.2,771.0,4456.0,11012.0
2007-01-11,563.8,230.02,347264.19,9588.0,1378.0,2170.0,12415.0
2007-01-12,365.32,199.14,347815.02,6205.2,0.0,439.0,8276.0
2007-01-13,796.7,290.74,344568.4,13612.4,7806.0,2975.0,11341.0
2007-01-14,751.95,227.12,343664.64,12905.4,1777.0,4215.0,12975.0
2007-01-15,537.17,174.86,347386.91,9016.6,1099.0,2239.0,15163.0
2007-01-16,421.6,185.43,348400.45,7165.4,2063.0,644.0,6583.0
2007-01-17,711.92,200.75,347047.56,11928.8,3500.0,5737.0,16064.0
2007-01-18,455.37,177.71,346886.78,7693.2,0.0,336.0,13491.0
2007-01-19,370.11,170.05,345831.76,6301.8,2103.0,330.0,7172.0
2007-01-20,783.43,238.36,343969.16,13461.2,4324.0,5222.0,11440.0
2007-01-21,851.82,229.74,344114.09,14674.6,10346.0,5567.0,11599.0
2007-01-22,545.12,168.64,347908.51,9151.6,1054.0,2983.0,11361.0
2007-01-23,444.41,138.28,349578.08,7575.6,0.0,1064.0,5061.0
2007-01-24,746.96,178.06,347699.08,12576.4,3464.0,2480.0,11744.0
2007-01-25,399.09,144.16,350531.08,6666.2,1158.0,262.0,11239.0
2007-01-26,404.49,142.9,349591.38,6798.8,1163.0,261.0,8238.0
2007-01-27,511.02,148.24,347927.86,8567.8,1170.0,3896.0,12374.0
2007-01-28,772.55,153.35,345798.59,13143.4,3466.0,3997.0,12045.0
2007-01-29,495.67,165.7,346938.62,8336.0,1123.0,294.0,15254.0
