Event,Site,Date,EventDate,ECO,Round,White,Black,Result,Moves
World Championship 1st,USA,1886.01.11,1886.01.11,D11,1,"Zukertort, Johannes H","Steinitz, Wilhelm",0-1,d2d4 d7d5 c2c4 c7c6 e2e3 c8f5 b1c3 e7e6 g1f3 b8d7 a2a3 f8d6 c4c5 d6c7 b2b4 e6e5 f1e2 g8f6 c1b2 e5e4 f3d2 h7h5 h2h3 d7f8 a3a4 f8g6 b4b5 g6h4 g2g3 h4g2 e1f1 g2e3 f2e3 c7g3 f1g2 g3c7 d1g1 h8h6 g2f1 h6g6 g1f2 d8d7 b5c6 b7c6 h1g1 f5h3 f1e1 f6g4 e2g4 h3g4 c3e2 d7e7 e2f4 g6h6 b2c3 g7g5 f4e2 h6f6 f2g2 f6f3 d2f1 a8b8 e1d2 f7f5 a4a5 f5f4 g1h1 e7f7 a1e1 f4e3 f1e3 f3f2 g2f2 f7f2 e3g4 c7f4 d2c2 h5g4 c3d2 e4e3 d2c1 f2g2 c2c3 e8d7 h1h7 d7e6 h7h6 e6f5 c1e3 f4e3 e1f1 e3f4
World Championship 1st,USA,1886.01.13,1886.01.11,C47,2,"Steinitz, Wilhelm","Zukertort, Johannes H",0-1,e2e4 e7e5 g1f3 b8c6 d2d4 e5d4 f3d4 g8f6 b1c3 f8b4 d4c6 b7c6 f1d3 d7d5 e4d5 c6d5 e1g1 e8g8 c1g5 c7c6 c3e2 b4d6 e2g3 h7h6 g5d2 f6g4 d3e2 d8h4 e2g4 c8g4 d1c1 g4e2 f1e1 e2a6 d2c3 f7f5 e1e6 a8d8 c1d2 d5d4 c3a5 d8d7 e6d6 d7d6 a5b4 h4f6 a1d1 d6d5 b4f8 f6f8 g3h5 f8e8 h5f4 d5e5 h2h4 c6c5 h4h5 e5e4 c2c3 e8b8 g2g3 b8e5 f4g6 e5d6 g6f4 d4d3 b2b3 c5c4 d1b1 g8h7 g1h2 d6b6 h2g1 a6b7 b1b2 b6c6 f2f3 c6c5 d2f2 e4e1 g1h2 c5f2 b2f2 b7f3 g3g4 f3e2 f4g2 d3d2 g2e3 c4b3 a2b3 e2g4
World Championship 1st,USA,1886.01.15,1886.01.11,D10,3,"Zukertort, Johannes H","Steinitz, Wilhelm",1-0,d2d4 d7d5 c2c4 c7c6 e2e3 c8f5 a2a3 e7e6 c4c5 a7a5 d1b3 d8c7 b1c3 b8d7 c3a4 g8f6 g1e2 f8e7 e2g3 f5g6 c1d2 e8g8 f1e2 f8b8 e1g1 b7b6 c5b6 d7b6 a4b6 b8b6 b3c3 c7b7 a1a2 f6d7 e2d1 c6c5 d1a4 c5c4 c3c1 d7f6 d2c3 e7d6 f2f3 b7b8 f3f4 g6d3 f1e1 h7h5 h2h4 b8d8 a4d1 g7g6 c1d2 b6b8 d2f2 d6e7 d1f3 f6e4 f3e4 d5e4 g3h1 e7h4 g2g3 h4e7 f2d2 d8d5 h1f2 a5a4 g1g2 b8b3 e1h1 g8g7 a2a1 e7d8 g3g4 h5g4 f2g4 d8a5 h1h7 g7f8 h7h8 f8g7 h8h7 g7f8 d2f2 a5d8 g4e5 f8g8 a1h1 d8f6 h7f7 a8f8 f7f6
World Championship 1st,USA,1886.01.18,1886.01.11,C67,4,"Steinitz, Wilhelm","Zukertort, Johannes H",0-1,e2e4 e7e5 g1f3 b8c6 f1b5 g8f6 e1g1 f6e4 f1e1 e4d6 f3e5 c6e5 e1e5 f8e7 b5f1 e8g8 d2d4 e7f6 e5e1 f8e8 c2c3 e8e1 d1e1 d6f5 c1f4 d7d6 b1d2 c8e6 f1d3 f5h4 d2e4 h4g6 f4d2 d6d5 e4c5 e6c8 e1e3 b7b6 c5b3 d8d6 e3e8 g6f8 a1e1 c8b7 e8e3 f8e6 e3f3 a8d8 f3f5 e6f8 d2f4 d6c6 b3d2 b7c8 f5h5 g7g6 h5e2 f8e6 f4g3 c6b7 d2f3 c7c5 d4c5 b6c5 f3e5 c5c4 d3b1 f6g7 e1d1 c8d7 e2f3 d7e8 e5c4 d5c4 d1d8 e6d8 f3e2 d8e6
World Championship 1st,USA,1886.01.20,1886.01.11,D10,5,"Zukertort, Johannes H","Steinitz, Wilhelm",1-0,d2d4 d7d5 c2c4 c7c6 b1c3 g8f6 e2e3 c8f5 c4d5 c6d5 d1b3 f5c8 g1f3 b8c6 f3e5 e7e6 f1b5 d8c7 c1d2 f8d6 f2f4 e8g8 a1c1 d6e5 f4e5 f6e8 e1g1 f7f6 b5d3 f8f7 b3c2 f6f5 c3e2 c8d7 f1f2 a8c8 d2c3 c7b6 c2d2 c6e7 c1f1 d7b5 d3b1 b6a6 g2g4 g7g6 h2h3 c8c7 f1e1 e8g7 e2f4 e7c8 g4f5 g6f5 f2g2 g8h8 g1h2 a6c6 e1g1 c8e7 d2f2 c6e8 g2g7
World Championship 1st,USA,1886.02.03,1886.01.11,C67,6,"Steinitz, Wilhelm","Zukertort, Johannes H",1-0,e2e4 e7e5 g1f3 b8c6 f1b5 g8f6 e1g1 f6e4 f1e1 e4d6 f3e5 c6e5 e1e5 f8e7 b1c3 e8g8 b5d3 e7f6 e5e3 g7g6 b2b3 f8e8 d1f3 f6g5 e3e8 d6e8 c1b2 c7c6 c3e4 g5e7 f3e3 d7d5 e3d4 f7f6 e4g3 c8e6 a1e1 e8g7 h2h4 d8d7 h4h5 e6f7 h5g6 f7g6 d4e3 g8f7 e3f4 a8e8 e1e3 g7e6 f4g4 e6f8 g3f5 e7c5 f5h6 f7g7 h6f5 g7f7 f5h6 f7g7 h6f5 g7f7 f5h6 f7g7 h6f5 g7f7 f5h6 f7g7 d3g6 d7g4 h6g4 e8e3 f2e3 g7g6 g4f6 c5b4 d2d3 f8e6 g1f2 h7h5 g2g4 h5h4 f6h5 b4d6 f2g2 c6c5 b2f6 e6g5 f6g5 g6g5 g2h3 d6e5 h5f4 d5d4 f4e6 g5f6 e3d4 c5d4 e6c5 f6g5 c5b7 g5f4 b7a5 e5f6 a5c6 f4e3 c6a7 e3d2 a7c6 d2c2 a2a4 c2d3 c6b4 d3e2 a4a5 f6e7 b4d5 e2f3 d5e7 d4d3 e7d5
World Championship 1st,USA,1886.02.05,1886.01.11,D40,7,"Zukertort, Johannes H","Steinitz, Wilhelm",0-1,d2d4 d7d5 c2c4 e7e6 b1c3 g8f6 e2e3 c7c5 g1f3 b8c6 a2a3 d5c4 f1c4 c5d4 e3d4 f8e7 e1g1 e8g8 c1e3 c8d7 d1d3 a8c8 a1c1 d8a5 c4a2 f8d8 f1e1 d7e8 a2b1 g7g6 d3e2 e7f8 e1d1 f8g7 b1a2 c6e7 e2d2 a5a6 e3g5 e7f5 g2g4 f5d4 f3d4 e6e5 c3d5 c8c1 d2c1 e5d4 d1d4 f6d5 d4d5 d8d5 a2d5 a6e2 h2h3 h7h6 d5c4 e2f3 c1e3 f3d1 g1h2 e8c6 g5e7 g7e5 f2f4 e5f4 e3f4 d1h1 h2g3 h1g1
World Championship 1st,USA,1886.02.08,1886.01.11,C67,8,"Steinitz, Wilhelm","Zukertort, Johannes H",1/2-1/2,e2e4 e7e5 g1f3 b8c6 f1b5 g8f6 e1g1 f6e4 f1e1 e4d6 f3e5 f8e7 b5d3 e8g8 d1h5 f7f5 b1c3 c6e5 e1e5 g7g6 h5f3 c7c6 b2b3 d6f7 e5e2 d7d5 c1b2 e7f6 a1e1 d8d6 e2e8 c8d7 e8a8 f8a8 c3d1 f7g5 f3e2 a8e8 e2f1 f6b2 e1e8 d7e8 d1b2
World Championship 1st,USA,1886.02.10,1886.01.11,D26,9,"Zukertort, Johannes H","Steinitz, Wilhelm",0-1,d2d4 d7d5 c2c4 e7e6 b1c3 g8f6 g1f3 d5c4 e2e3 c7c5 f1c4 c5d4 e3d4 f8e7 e1g1 e8g8 d1e2 b8d7 c4b3 d7b6 c1f4 b6d5 f4g3 d8a5 a1c1 c8d7 f3e5 f8d8 e2f3 d7e8 f1e1 a8c8 g3h4 d5c3 b2c3 a5c7 f3d3 f6d5 h4e7 c7e7 b3d5 d8d5 c3c4 d5d8 e1e3 e7d6 c1d1 f7f6 e3h3 h7h6 e5g4 d6f4 g4e3 e8a4 h3f3 f4d6 d1d2 a4c6 f3g3 f6f5 g3g6 c6e4 d3b3 g8h7 c4c5 c8c5 g6e6 c5c1 e3d1 d6f4 b3b2 c1b1 b2c3 d8c8 e6e4 f4e4
World Championship 1st,USA,1886.02.26,1886.01.11,C67,10,"Steinitz, Wilhelm","Zukertort, Johannes H",1/2-1/2,e2e4 e7e5 g1f3 b8c6 f1b5 g8f6 e1g1 f6e4 f1e1 e4d6 f3e5 f8e7 b5d3 e8g8 b1c3 c6e5 e1e5 c7c6 b2b3 f8e8 c1a3 e7f8 e5e3 e8e3 f2e3 d6e4 a3f8 e4c3 d1h5 g7g6 h5e5 d8f8 e5c3 f8g7 c3g7 g8g7 e3e4 d7d6 a1e1 c8d7 g1f2 a8e8
